metric,value,dataset
roc_violations,178453.0,expG_fragmentacion_t1dgranada_smote_temp
roc_pct,3.6067111793434017,expG_fragmentacion_t1dgranada_smote_temp
n_rows,4564114.0,expG_fragmentacion_t1dgranada_adasyn
n_patients,80.0,expG_fragmentacion_t1dgranada_adasyn
pct_hypo,11.800296837458486,expG_fragmentacion_t1dgranada_adasyn
pct_normo,64.068141155107,expG_fragmentacion_t1dgranada_adasyn
pct_hyper,24.13156200743452,expG_fragmentacion_t1dgranada_adasyn
autocorr_lag1,0.9067106773636254,expG_fragmentacion_t1dgranada_adasyn
roc_violations,193331.0,expG_fragmentacion_t1dgranada_adasyn
roc_pct,4.261155251334786,expG_fragmentacion_t1dgranada_adasyn
n_rows,2393772.0,expG_fragmentacion_t1dgranada_episode_aware
n_patients,80.0,expG_fragmentacion_t1dgranada_episode_aware
pct_hypo,4.29222164851122,expG_fragmentacion_t1dgranada_episode_aware
pct_normo,60.904839725755,expG_fragmentacion_t1dgranada_episode_aware
pct_hyper,34.80293862573378,expG_fragmentacion_t1dgranada_episode_aware
autocorr_lag1,0.9648437959252014,expG_fragmentacion_t1dgranada_episode_aware
roc_violations,21550.0,expG_fragmentacion_t1dgranada_episode_aware
roc_pct,0.9105451693783027,expG_fragmentacion_t1dgranada_episode_aware
n_rows,2405656.0,expG_fragmentacion_t1dgranada_patient_level
n_patients,80.0,expG_fragmentacion_t1dgranada_patient_level
pct_hypo,4.281617986944101,expG_fragmentacion_t1dgranada_patient_level
pct_normo,61.03540988403995,expG_fragmentacion_t1dgranada_patient_level
pct_hyper,34.68297212901595,expG_fragmentacion_t1dgranada_patient_level
autocorr_lag1,0.9646159126253618,expG_fragmentacion_t1dgranada_patient_level
roc_violations,21728.0,expG_fragmentacion_t1dgranada_patient_level
roc_pct,0.913479284856037,expG_fragmentacion_t1dgranada_patient_level
n_rows,2488546.0,expG_fragmentacion_t1dgranada_smogn_like
n_patients,80.0,expG_fragmentacion_t1dgranada_smogn_like
pct_hypo,4.557962762191256,expG_fragmentacion_t1dgranada_smogn_like
pct_normo,61.01892430358933,expG_fragmentacion_t1dgranada_smogn_like
pct_hyper,34.42311293421942,expG_fragmentacion_t1dgranada_smogn_like
autocorr_lag1,0.9620652245863198,expG_fragmentacion_t1dgranada_smogn_like
roc_violations,28390.0,expG_fragmentacion_t1dgranada_smogn_like
roc_pct,1.1533673940315776,expG_fragmentacion_t1dgranada_smogn_like
n_rows,2698262.0,expJ_episodios_cortos_replacebg_original
n_patients,60.0,expJ_episodios_cortos_replacebg_original
pct_hypo,1.752313155653528,expJ_episodios_cortos_replacebg_original
pct_normo,64.48669550992454,expJ_episodios_cortos_replacebg_original
pct_hyper,33.76099133442194,expJ_episodios_cortos_replacebg_original
autocorr_lag1,0.9933482647292233,expJ_episodios_cortos_replacebg_original
roc_violations,59370.0,expJ_episodios_cortos_replacebg_original
roc_pct,2.2255735153377887,expJ_episodios_cortos_replacebg_original
n_rows,3012524.0,expJ_episodios_cortos_replacebg_ros
n_patients,60.0,expJ_episodios_cortos_replacebg_ros
pct_hypo,12.001364968378676,expJ_episodios_cortos_replacebg_ros
pct_normo,57.7595398410104,expJ_episodios_cortos_replacebg_ros
pct_hyper,30.239095190610932,expJ_episodios_cortos_replacebg_ros
autocorr_lag1,0.9942487051437628,expJ_episodios_cortos_replacebg_ros
roc_violations,72179.0,expJ_episodios_cortos_replacebg_ros
roc_pct,2.4205797063539256,expJ_episodios_cortos_replacebg_ros
n_rows,1830911.0,expJ_episodios_cortos_replacebg_rus
n_patients,60.0,expJ_episodios_cortos_replacebg_rus
pct_hypo,2.5824302765126212,expJ_episodios_cortos_replacebg_rus
pct_normo,47.66310323112374,expJ_episodios_cortos_replacebg_rus
pct_hyper,49.75446649236363,expJ_episodios_cortos_replacebg_rus
autocorr_lag1,0.9891726430495766,expJ_episodios_cortos_replacebg_rus
roc_violations,53425.0,expJ_episodios_cortos_replacebg_rus
roc_pct,3.216273228807213,expJ_episodios_cortos_replacebg_rus
n_rows,6467738.0,expJ_episodios_cortos_replacebg_smote_temp
n_patients,60.0,expJ_episodios_cortos_replacebg_smote_temp
pct_hypo,13.595170367136083,expJ_episodios_cortos_replacebg_smote_temp
pct_normo,71.62915380926067,expJ_episodios_cortos_replacebg_smote_temp
pct_hyper,14.775675823603244,expJ_episodios_cortos_replacebg_smote_temp
autocorr_lag1,0.9665286741317847,expJ_episodios_cortos_replacebg_smote_temp
roc_violations,434438.0,expJ_episodios_cortos_replacebg_smote_temp
