Dataset,Age group,Total,Female N (%),Male N (%)
T1DGranada,<31,158,70 (44%),88 (56%)
T1DGranada,31-45,214,113 (53%),101 (47%)
T1DGranada,46-65,281,142 (51%),139 (49%)
T1DGranada,>=66,83,48 (58%),35 (42%)
DiaTrend,<31,38,28 (74%),10 (26%)
DiaTrend,31-45,4,2 (50%),2 (50%)
DiaTrend,46-65,11,6 (55%),5 (45%)
DiaTrend,>=66,1,1 (100%),0 (0%)
ReplaceBG,<31,51,33 (65%),18 (35%)
ReplaceBG,31-45,69,37 (54%),32 (46%)
ReplaceBG,46-65,86,34 (40%),52 (60%)
ReplaceBG,>=66,17,8 (47%),9 (53%)
