Dataset,Sex,TIR %,TBR %,TAR %,n_measurements
T1DiabetesGranada,F,42.25714871267469,3.261391609111968,24.972391372989104,16677758
T1DiabetesGranada,M,45.12105936400246,3.7493996235853655,27.051301784186816,13799676
DiaTrend,F,42.751885399020395,1.6583171746940921,39.68786400223583,6930761
DiaTrend,M,42.174445495448516,1.1679032948378116,39.32171873932262,2224328
ReplaceBG,F,55.24904689528979,3.2509585433766452,30.954938317753136,5791861
ReplaceBG,M,59.381150597999465,3.4222443463526084,27.93110794607802,5787547
