Dataset,Sex,median_ratio,q25_ratio,q75_ratio,n_patients
T1DiabetesGranada,Female,20.158997252747252,9.937448784485113,36.92511013215859,333
T1DiabetesGranada,Male,14.325353305016737,8.315710838047218,35.56803523296111,308
DiaTrend,Female,43.193212425929254,20.811541383074516,77.20398981324279,35
DiaTrend,Male,108.52593828627342,32.17225852634837,149.576891136947,16
ReplaceBG,Female,18.871536726368966,12.038129385747602,33.45510038834646,112
ReplaceBG,Male,18.450232558139536,13.39293618917225,39.962820512820514,111
