Condition,T1DiabetesGranada,DiaTrend,ReplaceBG
Age · Undersampling + SMOTE,#2  (27.57±0.69),#4  (33.96±1.48),#3  (27.12±0.67)
Age · Oversampling + Tomek Links,#3  (27.60±0.68),#3  (33.52±1.42),#2  (27.07±0.83)
Sex · Undersampling + SMOTE,#4  (27.71±0.57),#2  (33.34±1.54),#4  (27.15±0.55)
Sex · Oversampling + Tomek Links,#1  (27.52±0.77),#1  (33.28±1.65),#1  (27.02±0.79)
