Condition,T1DGranada,DiaTrend,ReplaceBG
Age · Oversampling,#6  (27.73±0.65),#5  (34.07±1.57),#5  (27.16±0.69)
Age · Undersampling,#1  (27.59±0.51),#6  (35.27±2.06),#6  (27.24±0.93)
Age · Undersampling + Oversampling,#5  (27.71±0.64),#4  (33.99±1.60),#2  (27.02±0.71)
Sex · Oversampling,#2  (27.61±0.68),#1  (33.21±1.57),#1  (27.01±0.70)
Sex · Undersampling,#3  (27.62±0.61),#3  (33.28±1.64),#3  (27.11±0.66)
Sex · Undersampling + Oversampling,#4  (27.70±0.75),#2  (33.21±1.69),#4  (27.12±0.79)
