Condition,T1DGranada,DiaTrend,ReplaceBG
Age · Undersampling + Oversampling,#4  (39.57±1.67),#3  (74.11±6.32),#4  (57.01±1.81)
Age · Undersampling + SMOTE,#1  (38.78±1.45),#2  (73.88±7.09),#3  (56.88±1.26)
Age · balanced_age_smote_tomek,#2  (39.05±1.08),#1  (73.35±7.28),#5  (57.08±1.39)
Sex · Undersampling + Oversampling,#6  (39.79±1.31),#4  (74.17±7.56),#2  (56.78±1.53)
Sex · Undersampling + SMOTE,#3  (39.34±0.90),#6  (74.93±7.43),#1  (56.51±0.90)
Sex · balanced_sex_smote_tomek,#5  (39.63±0.94),#5  (74.59±6.65),#6  (57.13±1.07)
