Condition,T1DiabetesGranada,DiaTrend,ReplaceBG
Age · Undersampling + Oversampling,#5  (38.00±0.79),#5  (45.92±2.15),#2  (36.86±0.72)
Age · Undersampling + SMOTE,#1  (37.87±0.93),#6  (45.97±2.17),#3  (36.96±0.78)
Age · balanced_age_smote_tomek,#2  (37.93±0.89),#4  (45.81±2.07),#4  (36.97±0.81)
Sex · Undersampling + Oversampling,#4  (37.99±0.93),#1  (45.02±2.26),#6  (37.02±0.85)
Sex · Undersampling + SMOTE,#6  (38.03±0.80),#3  (45.16±2.13),#5  (36.99±0.59)
Sex · balanced_sex_smote_tomek,#3  (37.97±0.98),#2  (45.04±2.25),#1  (36.81±0.80)
