Condition,T1DiabetesGranada,DiaTrend,ReplaceBG
Age · Undersampling + SMOTE,#1  (38.78±1.45),#2  (73.88±7.09),#3  (56.88±1.26)
Age · Oversampling + Tomek Links,#2  (39.02±1.72),#1  (72.87±6.37),#4  (57.05±0.72)
Sex · Undersampling + SMOTE,#4  (39.34±0.90),#3  (74.93±7.43),#1  (56.51±0.90)
Sex · Oversampling + Tomek Links,#3  (39.28±1.79),#4  (75.14±7.00),#2  (56.71±0.79)
