Condition,T1DiabetesGranada,DiaTrend,ReplaceBG
Age · PAUndersampling,#1  (37.56±0.39),#6  (48.22±3.09),#5  (37.06±0.72)
Age · Undersampling,#4  (37.90±0.75),#5  (47.76±2.86),#6  (37.12±1.08)
Age · Tomek Links,#3  (37.79±0.87),#1  (44.83±2.23),#1  (36.85±0.77)
Sex · PAUndersampling,#5  (37.92±0.77),#4  (45.26±1.98),#3  (36.98±0.81)
Sex · Undersampling,#6  (37.93±0.83),#3  (45.08±2.21),#2  (36.95±0.70)
Sex · Tomek Links,#2  (37.78±0.89),#2  (45.06±2.08),#4  (37.02±0.79)
