Condition,T1DGranada,DiaTrend,ReplaceBG
Age · Undersampling + SMOTE,#1  (34.35±1.51),#2  (70.23±6.34),#3  (54.08±1.47)
Age · Oversampling + Tomek Links,#2  (34.66±1.60),#1  (68.93±5.45),#4  (54.18±0.57)
Sex · Undersampling + SMOTE,#4  (35.17±0.63),#4  (71.06±6.51),#1  (53.58±1.01)
Sex · Oversampling + Tomek Links,#3  (34.93±1.75),#3  (70.94±6.35),#2  (53.73±0.60)
