Condition,T1DiabetesGranada_Hypo L2,T1DiabetesGranada_Hypo L1,T1DiabetesGranada_In Range,T1DiabetesGranada_Hyper L1,T1DiabetesGranada_Hyper L2,T1DiabetesGranada_All Ranges,DiaTrend_Hypo L2,DiaTrend_Hypo L1,DiaTrend_In Range,DiaTrend_Hyper L1,DiaTrend_Hyper L2,DiaTrend_All Ranges,ReplaceBG_Hypo L2,ReplaceBG_Hypo L1,ReplaceBG_In Range,ReplaceBG_Hyper L1,ReplaceBG_Hyper L2,ReplaceBG_All Ranges
Age · Undersampling + SMOTE,38.78 ± 1.45,35.60 ± 1.04,26.69 ± 0.59,43.09 ± 0.42,66.39 ± 1.50,37.87 ± 0.93,73.88 ± 7.09,57.64 ± 4.37,29.76 ± 1.06,44.63 ± 1.13,74.40 ± 3.57,45.97 ± 2.17,56.88 ± 1.26,41.36 ± 0.81,25.80 ± 0.72,43.49 ± 0.83,68.36 ± 1.52,36.96 ± 0.78
Age · Oversampling + Tomek Links,39.02 ± 1.72,35.63 ± 1.26,26.64 ± 0.56,43.06 ± 0.39,66.94 ± 1.65,37.95 ± 0.86,72.87 ± 6.37,57.34 ± 3.31,29.78 ± 1.18,43.86 ± 1.12,73.47 ± 2.66,45.47 ± 1.97,57.05 ± 0.72,41.68 ± 0.51,25.67 ± 0.55,43.49 ± 1.19,68.21 ± 0.98,36.90 ± 0.90
Sex · Undersampling + SMOTE,39.34 ± 0.90,35.51 ± 0.90,26.65 ± 0.69,43.50 ± 0.47,66.82 ± 1.20,38.03 ± 0.80,74.93 ± 7.43,59.21 ± 5.21,30.25 ± 1.21,42.79 ± 0.99,72.71 ± 3.33,45.16 ± 2.13,56.51 ± 0.90,41.27 ± 0.44,25.85 ± 0.60,43.63 ± 0.89,68.25 ± 1.37,36.99 ± 0.59
Sex · Oversampling + Tomek Links,39.28 ± 1.79,35.73 ± 1.29,26.64 ± 0.45,42.85 ± 0.64,66.76 ± 1.96,37.87 ± 1.01,75.14 ± 7.00,59.81 ± 4.05,30.27 ± 1.16,42.51 ± 1.18,72.65 ± 3.40,45.07 ± 2.23,56.71 ± 0.79,41.39 ± 0.82,25.66 ± 0.48,43.34 ± 0.90,68.31 ± 1.08,36.85 ± 0.87
