Condition,T1DiabetesGranada,DiaTrend,ReplaceBG
Age · Jittering,#7  (39.81±1.30),#4  (73.55±7.47),#8  (57.84±0.50)
Age · Oversampling,#4  (39.44±1.39),#3  (73.23±7.00),#5  (57.04±1.12)
Age · SMOTE,#1  (38.74±1.49),#1  (72.71±6.82),#2  (56.63±1.35)
Age · Oversampling + Tomek Links,#2  (39.02±1.72),#2  (72.87±6.37),#6  (57.05±0.72)
Sex · Jittering,#8  (39.81±0.77),#8  (75.15±7.34),#1  (56.46±1.80)
Sex · Oversampling,#6  (39.66±0.72),#6  (74.38±6.62),#4  (56.96±1.40)
Sex · SMOTE,#5  (39.60±1.33),#5  (74.32±6.60),#7  (57.47±1.51)
Sex · Oversampling + Tomek Links,#3  (39.28±1.79),#7  (75.14±7.00),#3  (56.71±0.79)
