Condition,T1DiabetesGranada_Hypo L2,T1DiabetesGranada_Hypo L1,T1DiabetesGranada_In Range,T1DiabetesGranada_Hyper L1,T1DiabetesGranada_Hyper L2,T1DiabetesGranada_All Ranges,DiaTrend_Hypo L2,DiaTrend_Hypo L1,DiaTrend_In Range,DiaTrend_Hyper L1,DiaTrend_Hyper L2,DiaTrend_All Ranges,ReplaceBG_Hypo L2,ReplaceBG_Hypo L1,ReplaceBG_In Range,ReplaceBG_Hyper L1,ReplaceBG_Hyper L2,ReplaceBG_All Ranges
Age · Undersampling + Oversampling,35.09 ± 1.21,30.86 ± 1.23,19.40 ± 0.38,34.21 ± 0.40,56.41 ± 1.09,27.71 ± 0.64,70.64 ± 5.60,54.42 ± 2.45,21.91 ± 0.76,35.38 ± 0.79,62.99 ± 2.32,33.99 ± 1.60,54.19 ± 1.83,38.39 ± 1.44,19.11 ± 0.30,34.37 ± 0.89,57.79 ± 1.21,27.02 ± 0.71
Age · Undersampling + SMOTE,34.35 ± 1.51,30.18 ± 0.81,19.41 ± 0.37,33.89 ± 0.46,56.01 ± 1.47,27.57 ± 0.69,70.23 ± 6.34,53.15 ± 3.59,21.93 ± 0.52,35.54 ± 0.92,62.53 ± 3.04,33.96 ± 1.48,54.08 ± 1.47,37.89 ± 1.26,19.12 ± 0.42,34.67 ± 0.61,58.17 ± 1.49,27.12 ± 0.67
Age · balanced_age_smote_tomek,34.51 ± 0.84,30.16 ± 0.74,19.36 ± 0.46,33.86 ± 0.36,56.60 ± 1.27,27.59 ± 0.69,69.72 ± 6.39,52.92 ± 3.82,21.91 ± 0.66,35.51 ± 0.95,62.25 ± 2.19,33.86 ± 1.40,54.30 ± 1.40,38.42 ± 1.33,19.14 ± 0.31,34.97 ± 0.78,57.68 ± 1.02,27.17 ± 0.79
Sex · Undersampling + Oversampling,35.73 ± 1.29,31.08 ± 1.13,19.40 ± 0.33,34.07 ± 0.60,56.47 ± 2.07,27.70 ± 0.75,69.88 ± 6.90,54.42 ± 3.44,22.35 ± 0.68,33.17 ± 1.11,60.92 ± 2.86,33.21 ± 1.69,53.90 ± 1.67,38.03 ± 1.44,19.08 ± 0.35,34.60 ± 0.79,58.65 ± 1.51,27.12 ± 0.79
Sex · Undersampling + SMOTE,35.17 ± 0.63,30.25 ± 0.60,19.41 ± 0.48,34.33 ± 0.47,56.42 ± 1.03,27.71 ± 0.57,71.06 ± 6.51,54.68 ± 4.41,22.30 ± 0.83,33.63 ± 0.68,61.01 ± 2.74,33.34 ± 1.54,53.58 ± 1.01,37.68 ± 0.57,19.15 ± 0.33,34.88 ± 0.68,58.00 ± 1.15,27.15 ± 0.55
Sex · balanced_sex_smote_tomek,35.46 ± 1.21,30.81 ± 1.17,19.35 ± 0.40,33.87 ± 0.58,56.81 ± 1.50,27.65 ± 0.68,70.41 ± 5.64,54.26 ± 2.29,22.38 ± 0.78,33.34 ± 0.76,60.61 ± 2.95,33.22 ± 1.68,54.22 ± 0.91,38.28 ± 0.90,19.10 ± 0.40,34.39 ± 0.66,57.62 ± 0.77,27.00 ± 0.75
