Condition,T1DGranada,DiaTrend,ReplaceBG
Age · Undersampling + Oversampling,#4  (35.09±1.21),#6  (70.64±5.60),#6  (54.19±1.83)
Age · Undersampling + SMOTE,#1  (34.35±1.51),#4  (70.23±6.34),#4  (54.08±1.47)
Age · balanced_age_smote_tomek,#2  (34.51±0.84),#2  (69.72±6.39),#8  (54.30±1.40)
Age · Oversampling + Tomek Links,#3  (34.85±2.67),#1  (69.42±7.55),#5  (54.11±0.94)
Sex · Undersampling + Oversampling,#8  (35.73±1.29),#3  (69.88±6.90),#3  (53.90±1.67)
Sex · Undersampling + SMOTE,#5  (35.17±0.63),#7  (71.06±6.51),#1  (53.58±1.01)
Sex · balanced_sex_smote_tomek,#7  (35.46±1.21),#5  (70.41±5.64),#7  (54.22±0.91)
Sex · Oversampling + Tomek Links,#6  (35.41±1.24),#8  (71.82±4.25),#2  (53.86±0.55)
