Condition,T1DGranada,DiaTrend,ReplaceBG
Age · Oversampling,#1  (39.44±1.39),#1  (73.23±7.00),#4  (57.04±1.12)
Age · Undersampling,#2  (39.49±1.44),#6  (78.96±7.05),#6  (57.46±1.91)
Age · Undersampling + Oversampling,#3  (39.57±1.67),#2  (74.11±6.32),#3  (57.01±1.81)
Sex · Oversampling,#4  (39.66±0.72),#4  (74.38±6.62),#2  (56.96±1.40)
Sex · Undersampling,#5  (39.72±1.31),#5  (74.82±7.74),#5  (57.18±1.57)
Sex · Undersampling + Oversampling,#6  (39.79±1.31),#3  (74.17±7.56),#1  (56.78±1.53)
