Condition,T1DGranada_Hypo L2,T1DGranada_Hypo L1,T1DGranada_In Range,T1DGranada_Hyper L1,T1DGranada_Hyper L2,T1DGranada_All Ranges,DiaTrend_Hypo L2,DiaTrend_Hypo L1,DiaTrend_In Range,DiaTrend_Hyper L1,DiaTrend_Hyper L2,DiaTrend_All Ranges,ReplaceBG_Hypo L2,ReplaceBG_Hypo L1,ReplaceBG_In Range,ReplaceBG_Hyper L1,ReplaceBG_Hyper L2,ReplaceBG_All Ranges
Age · Oversampling,39.44 ± 1.39,35.80 ± 1.10,26.57 ± 0.58,43.45 ± 0.73,67.02 ± 1.26,38.05 ± 0.84,73.23 ± 7.00,57.58 ± 4.29,29.36 ± 1.06,44.71 ± 1.16,75.06 ± 3.05,46.03 ± 2.17,57.04 ± 1.12,41.74 ± 0.40,25.66 ± 0.58,43.61 ± 0.92,68.52 ± 0.87,36.97 ± 0.76
Age · Undersampling,39.49 ± 1.44,36.00 ± 0.96,26.73 ± 0.66,43.02 ± 0.77,66.51 ± 1.13,37.90 ± 0.75,78.96 ± 7.05,62.04 ± 4.19,30.56 ± 1.46,42.90 ± 1.60,80.44 ± 4.79,47.76 ± 2.86,57.46 ± 1.91,42.13 ± 1.72,25.91 ± 0.61,43.26 ± 0.84,69.01 ± 1.41,37.12 ± 1.08
Age · Undersampling + Oversampling,39.57 ± 1.67,36.14 ± 1.46,26.58 ± 0.56,43.36 ± 0.41,66.79 ± 1.21,38.00 ± 0.79,74.11 ± 6.32,58.54 ± 3.50,29.60 ± 1.21,44.32 ± 0.93,74.71 ± 2.89,45.92 ± 2.15,57.01 ± 1.81,41.83 ± 1.27,25.80 ± 0.46,43.21 ± 1.08,68.13 ± 1.30,36.86 ± 0.72
Sex · Oversampling,39.66 ± 0.72,35.86 ± 0.79,26.64 ± 0.65,43.18 ± 0.24,66.77 ± 1.51,37.96 ± 0.88,74.38 ± 6.62,59.45 ± 3.27,30.28 ± 1.01,42.64 ± 1.21,72.27 ± 2.89,44.99 ± 2.10,56.96 ± 1.40,41.50 ± 1.29,25.81 ± 0.50,43.23 ± 1.01,68.13 ± 1.07,36.86 ± 0.73
Sex · Undersampling,39.72 ± 1.31,36.13 ± 1.00,26.52 ± 0.66,43.05 ± 0.66,67.05 ± 1.06,37.93 ± 0.83,74.82 ± 7.74,59.28 ± 4.46,30.33 ± 0.99,42.73 ± 1.56,72.51 ± 3.16,45.08 ± 2.21,57.18 ± 1.57,41.81 ± 1.12,25.79 ± 0.51,43.34 ± 0.85,68.41 ± 1.18,36.95 ± 0.70
Sex · Undersampling + Oversampling,39.79 ± 1.31,36.13 ± 1.00,26.60 ± 0.49,43.27 ± 0.68,66.81 ± 1.99,37.99 ± 0.93,74.17 ± 7.56,59.18 ± 4.36,30.31 ± 1.06,42.40 ± 1.36,72.57 ± 3.40,45.02 ± 2.26,56.78 ± 1.53,41.51 ± 1.36,25.78 ± 0.53,43.40 ± 0.96,68.84 ± 1.52,37.02 ± 0.85
