Condition,T1DiabetesGranada_Hypo L2,T1DiabetesGranada_Hypo L1,T1DiabetesGranada_In Range,T1DiabetesGranada_Hyper L1,T1DiabetesGranada_Hyper L2,T1DiabetesGranada_All Ranges,DiaTrend_Hypo L2,DiaTrend_Hypo L1,DiaTrend_In Range,DiaTrend_Hyper L1,DiaTrend_Hyper L2,DiaTrend_All Ranges,ReplaceBG_Hypo L2,ReplaceBG_Hypo L1,ReplaceBG_In Range,ReplaceBG_Hyper L1,ReplaceBG_Hyper L2,ReplaceBG_All Ranges
Age · Undersampling + SMOTE,34.35 ± 1.51,30.18 ± 0.81,19.41 ± 0.37,33.89 ± 0.46,56.01 ± 1.47,27.57 ± 0.69,70.23 ± 6.34,53.15 ± 3.59,21.93 ± 0.52,35.54 ± 0.92,62.53 ± 3.04,33.96 ± 1.48,54.08 ± 1.47,37.89 ± 1.26,19.12 ± 0.42,34.67 ± 0.61,58.17 ± 1.49,27.12 ± 0.67
Age · Oversampling + Tomek Links,34.66 ± 1.60,30.24 ± 1.12,19.36 ± 0.39,33.85 ± 0.33,56.67 ± 1.63,27.60 ± 0.68,68.93 ± 5.45,52.61 ± 2.07,21.90 ± 0.65,34.71 ± 0.80,61.62 ± 1.96,33.52 ± 1.42,54.18 ± 0.57,38.22 ± 0.40,19.03 ± 0.38,34.75 ± 1.15,57.93 ± 1.11,27.07 ± 0.83
Sex · Undersampling + SMOTE,35.17 ± 0.63,30.25 ± 0.60,19.41 ± 0.48,34.33 ± 0.47,56.42 ± 1.03,27.71 ± 0.57,71.06 ± 6.51,54.68 ± 4.41,22.30 ± 0.83,33.63 ± 0.68,61.01 ± 2.74,33.34 ± 1.54,53.58 ± 1.01,37.68 ± 0.57,19.15 ± 0.33,34.88 ± 0.68,58.00 ± 1.15,27.15 ± 0.55
Sex · Oversampling + Tomek Links,34.93 ± 1.75,30.25 ± 1.30,19.35 ± 0.34,33.61 ± 0.58,56.44 ± 1.95,27.52 ± 0.77,70.94 ± 6.35,55.20 ± 3.30,22.33 ± 0.75,33.41 ± 0.91,61.01 ± 2.75,33.28 ± 1.65,53.73 ± 0.60,37.78 ± 0.65,18.99 ± 0.32,34.61 ± 0.76,58.13 ± 1.14,27.02 ± 0.79
