Condition,T1DiabetesGranada_Hypo L2,T1DiabetesGranada_Hypo L1,T1DiabetesGranada_In Range,T1DiabetesGranada_Hyper L1,T1DiabetesGranada_Hyper L2,T1DiabetesGranada_All Ranges,DiaTrend_Hypo L2,DiaTrend_Hypo L1,DiaTrend_In Range,DiaTrend_Hyper L1,DiaTrend_Hyper L2,DiaTrend_All Ranges,ReplaceBG_Hypo L2,ReplaceBG_Hypo L1,ReplaceBG_In Range,ReplaceBG_Hyper L1,ReplaceBG_Hyper L2,ReplaceBG_All Ranges
Age · Oversampling,35.13 ± 1.44,30.50 ± 1.03,19.36 ± 0.38,34.32 ± 0.71,56.68 ± 1.28,27.73 ± 0.65,69.60 ± 6.44,53.26 ± 3.43,21.73 ± 0.59,35.81 ± 0.90,63.36 ± 2.57,34.07 ± 1.57,54.28 ± 1.22,38.37 ± 0.53,19.06 ± 0.37,34.92 ± 0.81,58.30 ± 0.64,27.16 ± 0.69
Age · Undersampling,35.34 ± 1.51,30.78 ± 0.87,19.45 ± 0.42,33.74 ± 0.71,56.07 ± 1.00,27.59 ± 0.51,75.43 ± 5.57,58.02 ± 3.16,22.73 ± 0.90,34.02 ± 1.22,69.24 ± 4.03,35.27 ± 2.06,54.77 ± 1.83,38.84 ± 1.70,19.23 ± 0.44,34.42 ± 0.65,58.80 ± 1.61,27.24 ± 0.93
Age · Undersampling + Oversampling,35.09 ± 1.21,30.86 ± 1.23,19.40 ± 0.38,34.21 ± 0.40,56.41 ± 1.09,27.71 ± 0.64,70.64 ± 5.60,54.42 ± 2.45,21.91 ± 0.76,35.38 ± 0.79,62.99 ± 2.32,33.99 ± 1.60,54.19 ± 1.83,38.39 ± 1.44,19.11 ± 0.30,34.37 ± 0.89,57.79 ± 1.21,27.02 ± 0.71
Sex · Oversampling,35.65 ± 0.89,30.74 ± 0.74,19.38 ± 0.43,33.88 ± 0.31,56.35 ± 1.44,27.61 ± 0.68,69.82 ± 6.29,54.62 ± 2.35,22.32 ± 0.64,33.53 ± 0.93,60.45 ± 2.30,33.21 ± 1.57,54.14 ± 1.26,37.98 ± 1.13,19.09 ± 0.33,34.40 ± 0.85,57.90 ± 0.94,27.01 ± 0.70
Sex · Undersampling,35.55 ± 1.12,31.01 ± 0.81,19.32 ± 0.45,33.87 ± 0.53,56.76 ± 0.89,27.62 ± 0.61,70.84 ± 6.92,54.71 ± 3.57,22.33 ± 0.67,33.57 ± 1.20,60.82 ± 2.49,33.28 ± 1.64,54.44 ± 1.62,38.36 ± 1.29,19.12 ± 0.31,34.59 ± 0.62,58.12 ± 1.22,27.11 ± 0.66
Sex · Undersampling + Oversampling,35.73 ± 1.29,31.08 ± 1.13,19.40 ± 0.33,34.07 ± 0.60,56.47 ± 2.07,27.70 ± 0.75,69.88 ± 6.90,54.42 ± 3.44,22.35 ± 0.68,33.17 ± 1.11,60.92 ± 2.86,33.21 ± 1.69,53.90 ± 1.67,38.03 ± 1.44,19.08 ± 0.35,34.60 ± 0.79,58.65 ± 1.51,27.12 ± 0.79
