Condition,T1DiabetesGranada,DiaTrend,ReplaceBG
Age · Jittering,#6  (35.52±1.49),#4  (69.76±6.99),#8  (55.14±0.62)
Age · Oversampling,#4  (35.13±1.44),#3  (69.60±6.44),#6  (54.28±1.22)
Age · SMOTE,#1  (34.08±1.44),#2  (69.04±5.98),#3  (53.81±1.31)
Age · Oversampling + Tomek Links,#2  (34.66±1.60),#1  (68.93±5.45),#5  (54.18±0.57)
Sex · Jittering,#8  (35.67±0.50),#8  (71.12±6.44),#1  (53.52±1.86)
Sex · Oversampling,#7  (35.65±0.89),#5  (69.82±6.29),#4  (54.14±1.26)
Sex · SMOTE,#5  (35.34±1.18),#6  (70.07±5.93),#7  (54.83±1.40)
Sex · Oversampling + Tomek Links,#3  (34.93±1.75),#7  (70.94±6.35),#2  (53.73±0.60)
