Condition,T1DGranada_Hypo L2,T1DGranada_Hypo L1,T1DGranada_In Range,T1DGranada_Hyper L1,T1DGranada_Hyper L2,T1DGranada_All Ranges,DiaTrend_Hypo L2,DiaTrend_Hypo L1,DiaTrend_In Range,DiaTrend_Hyper L1,DiaTrend_Hyper L2,DiaTrend_All Ranges,ReplaceBG_Hypo L2,ReplaceBG_Hypo L1,ReplaceBG_In Range,ReplaceBG_Hyper L1,ReplaceBG_Hyper L2,ReplaceBG_All Ranges
Age · Undersampling + Oversampling,39.57 ± 1.67,36.14 ± 1.46,26.58 ± 0.56,43.36 ± 0.41,66.79 ± 1.21,38.00 ± 0.79,74.11 ± 6.32,58.54 ± 3.50,29.60 ± 1.21,44.32 ± 0.93,74.71 ± 2.89,45.92 ± 2.15,57.01 ± 1.81,41.83 ± 1.27,25.80 ± 0.46,43.21 ± 1.08,68.13 ± 1.30,36.86 ± 0.72
Age · Undersampling + SMOTE,38.78 ± 1.45,35.60 ± 1.04,26.69 ± 0.59,43.09 ± 0.42,66.39 ± 1.50,37.87 ± 0.93,73.88 ± 7.09,57.64 ± 4.37,29.76 ± 1.06,44.63 ± 1.13,74.40 ± 3.57,45.97 ± 2.17,56.88 ± 1.26,41.36 ± 0.81,25.80 ± 0.72,43.49 ± 0.83,68.36 ± 1.52,36.96 ± 0.78
Age · balanced_age_smote_tomek,39.05 ± 1.08,35.63 ± 0.83,26.62 ± 0.68,43.07 ± 0.49,66.87 ± 1.44,37.93 ± 0.89,73.35 ± 7.28,57.41 ± 4.78,29.70 ± 1.20,44.53 ± 1.25,74.12 ± 2.93,45.81 ± 2.07,57.08 ± 1.39,41.77 ± 1.35,25.77 ± 0.39,43.72 ± 0.94,68.02 ± 0.99,36.97 ± 0.81
Sex · Undersampling + Oversampling,39.79 ± 1.31,36.13 ± 1.00,26.60 ± 0.49,43.27 ± 0.68,66.81 ± 1.99,37.99 ± 0.93,74.17 ± 7.56,59.18 ± 4.36,30.31 ± 1.06,42.40 ± 1.36,72.57 ± 3.40,45.02 ± 2.26,56.78 ± 1.53,41.51 ± 1.36,25.78 ± 0.53,43.40 ± 0.96,68.84 ± 1.52,37.02 ± 0.85
Sex · Undersampling + SMOTE,39.34 ± 0.90,35.51 ± 0.90,26.65 ± 0.69,43.50 ± 0.47,66.82 ± 1.20,38.03 ± 0.80,74.93 ± 7.43,59.21 ± 5.21,30.25 ± 1.21,42.79 ± 0.99,72.71 ± 3.33,45.16 ± 2.13,56.51 ± 0.90,41.27 ± 0.44,25.85 ± 0.60,43.63 ± 0.89,68.25 ± 1.37,36.99 ± 0.59
Sex · balanced_sex_smote_tomek,39.63 ± 0.94,36.03 ± 0.91,26.56 ± 0.64,43.07 ± 0.72,67.11 ± 1.63,37.97 ± 0.98,74.59 ± 6.65,59.06 ± 3.54,30.40 ± 1.23,42.55 ± 1.01,72.37 ± 3.48,45.04 ± 2.25,57.13 ± 1.07,41.79 ± 1.08,25.78 ± 0.57,43.18 ± 0.79,67.92 ± 0.94,36.81 ± 0.80
