Condition,T1DiabetesGranada Zone A,T1DiabetesGranada Zone A + B,DiaTrend Zone A,DiaTrend Zone A + B,ReplaceBG Zone A,ReplaceBG Zone A + B
Age · Undersampling + SMOTE,67.5 ± 0.7,94.5 ± 0.3,64.2 ± 1.9,95.3 ± 0.8,67.5 ± 0.5,95.0 ± 0.2
Age · Oversampling + Tomek Links,67.6 ± 0.9,94.5 ± 0.4,64.8 ± 2.0,95.4 ± 0.8,67.5 ± 0.8,95.0 ± 0.2
Sex · Undersampling + SMOTE,67.4 ± 0.8,94.4 ± 0.3,64.8 ± 2.2,95.5 ± 0.8,67.4 ± 0.5,95.0 ± 0.1
Sex · Oversampling + Tomek Links,67.7 ± 1.0,94.5 ± 0.4,64.9 ± 2.2,95.6 ± 0.8,67.7 ± 0.8,95.0 ± 0.2
