Condition,T1DiabetesGranada,DiaTrend,ReplaceBG
Age · Jittering,#7  (27.71±0.56),#8  (34.28±1.61),#8  (27.35±0.65)
Age · Oversampling,#8  (27.73±0.65),#7  (34.07±1.57),#5  (27.16±0.69)
Age · SMOTE,#6  (27.67±0.53),#6  (33.83±1.60),#6  (27.16±0.76)
Age · Oversampling + Tomek Links,#3  (27.60±0.68),#5  (33.52±1.42),#4  (27.07±0.83)
Sex · Jittering,#5  (27.61±0.71),#4  (33.42±1.64),#3  (27.04±0.75)
Sex · Oversampling,#4  (27.61±0.68),#2  (33.21±1.57),#1  (27.01±0.70)
Sex · SMOTE,#1  (27.51±0.69),#1  (33.18±1.55),#7  (27.21±0.80)
Sex · Oversampling + Tomek Links,#2  (27.52±0.77),#3  (33.28±1.65),#2  (27.02±0.79)
