Condition,T1DiabetesGranada,DiaTrend,ReplaceBG
Age · Undersampling + Oversampling,#5  (27.71±0.64),#6  (33.99±1.60),#2  (27.02±0.71)
Age · Undersampling + SMOTE,#1  (27.57±0.69),#5  (33.96±1.48),#3  (27.12±0.67)
Age · balanced_age_smote_tomek,#2  (27.59±0.69),#4  (33.86±1.40),#6  (27.17±0.79)
Sex · Undersampling + Oversampling,#4  (27.70±0.75),#1  (33.21±1.69),#4  (27.12±0.79)
Sex · Undersampling + SMOTE,#6  (27.71±0.57),#3  (33.34±1.54),#5  (27.15±0.55)
Sex · balanced_sex_smote_tomek,#3  (27.65±0.68),#2  (33.22±1.68),#1  (27.00±0.75)
