Condition,T1DiabetesGranada,DiaTrend,ReplaceBG
Age · PAUndersampling,#5  (35.60±1.55),#6  (76.39±5.88),#6  (55.06±1.95)
Age · Undersampling,#3  (35.34±1.51),#5  (75.43±5.57),#5  (54.77±1.83)
Age · Tomek Links,#2  (35.24±1.12),#1  (69.55±6.76),#2  (54.17±1.89)
Sex · PAUndersampling,#1  (34.99±1.34),#4  (72.87±5.11),#1  (53.05±0.71)
Sex · Undersampling,#4  (35.55±1.12),#3  (70.84±6.92),#3  (54.44±1.62)
Sex · Tomek Links,#6  (35.95±2.27),#2  (69.87±5.40),#4  (54.65±1.16)
