Condition,T1DiabetesGranada,DiaTrend,ReplaceBG
Age · Jittering,#8  (38.09±0.77),#8  (46.41±2.14),#8  (37.25±0.76)
Age · Oversampling,#7  (38.05±0.84),#7  (46.03±2.17),#5  (36.97±0.76)
Age · SMOTE,#6  (37.98±0.70),#6  (45.80±2.16),#6  (37.00±0.77)
Age · Oversampling + Tomek Links,#4  (37.95±0.86),#5  (45.47±1.97),#3  (36.90±0.90)
Sex · Jittering,#3  (37.93±0.91),#4  (45.33±2.17),#4  (36.93±0.82)
Sex · Oversampling,#5  (37.96±0.88),#2  (44.99±2.10),#2  (36.86±0.73)
Sex · SMOTE,#1  (37.80±0.86),#1  (44.94±2.12),#7  (37.04±0.84)
Sex · Oversampling + Tomek Links,#2  (37.87±1.01),#3  (45.07±2.23),#1  (36.85±0.87)
