Condition,T1DGranada,DiaTrend,ReplaceBG
Age · Oversampling,#2  (35.13±1.44),#1  (69.60±6.44),#4  (54.28±1.22)
Age · Undersampling,#3  (35.34±1.51),#6  (75.43±5.57),#6  (54.77±1.83)
Age · Undersampling + Oversampling,#1  (35.09±1.21),#4  (70.64±5.60),#3  (54.19±1.83)
Sex · Oversampling,#5  (35.65±0.89),#2  (69.82±6.29),#2  (54.14±1.26)
Sex · Undersampling,#4  (35.55±1.12),#5  (70.84±6.92),#5  (54.44±1.62)
Sex · Undersampling + Oversampling,#6  (35.73±1.29),#3  (69.88±6.90),#1  (53.90±1.67)
