condition,balanced_age_patient_aware_undersampling,balanced_age_tomek_links,balanced_age_undersampling,balanced_sex_patient_aware_undersampling,balanced_sex_tomek_links,balanced_sex_undersampling
balanced_age_patient_aware_undersampling,1.0,0.0467,0.9994,0.6505,0.0284,0.4275
balanced_age_tomek_links,0.0467,1.0,0.1139,0.7556,1.0,0.9134
balanced_age_undersampling,0.9994,0.1139,1.0,0.8451,0.0743,0.6505
balanced_sex_patient_aware_undersampling,0.6505,0.7556,0.8451,1.0,0.6505,0.9994
balanced_sex_tomek_links,0.0284,1.0,0.0743,0.6505,1.0,0.8451
balanced_sex_undersampling,0.4275,0.9134,0.6505,0.9994,0.8451,1.0
