condition,balanced_age_smote_tomek,balanced_age_undersampling_oversampling,balanced_age_undersampling_smote,balanced_sex_smote_tomek,balanced_sex_undersampling_oversampling,balanced_sex_undersampling_smote
balanced_age_smote_tomek,1.0,0.9846,1.0,0.0467,0.1681,0.4275
balanced_age_undersampling_oversampling,0.9846,1.0,0.959,0.0052,0.0284,0.1139
balanced_age_undersampling_smote,1.0,0.959,1.0,0.0743,0.2388,0.5382
balanced_sex_smote_tomek,0.0467,0.0052,0.0743,1.0,0.9959,0.9134
balanced_sex_undersampling_oversampling,0.1681,0.0284,0.2388,0.9959,1.0,0.9959
balanced_sex_undersampling_smote,0.4275,0.1139,0.5382,0.9134,0.9959,1.0
