condition,balanced_age_oversampling,balanced_age_undersampling,balanced_age_undersampling_oversampling,balanced_sex_oversampling,balanced_sex_undersampling,balanced_sex_undersampling_oversampling
balanced_age_oversampling,1.0,0.4275,0.9959,0.0467,0.0743,0.0028
balanced_age_undersampling,0.4275,1.0,0.7556,0.9134,0.959,0.4275
balanced_age_undersampling_oversampling,0.9959,0.7556,1.0,0.1681,0.2388,0.0166
balanced_sex_oversampling,0.0467,0.9134,0.1681,1.0,1.0,0.959
balanced_sex_undersampling,0.0743,0.959,0.2388,1.0,1.0,0.9134
balanced_sex_undersampling_oversampling,0.0028,0.4275,0.0166,0.959,0.9134,1.0
