condition,balanced_age_jittering,balanced_age_oversampling,balanced_age_oversampling_tomek,balanced_age_patient_aware_undersampling,balanced_age_smote,balanced_age_smote_tomek,balanced_age_tomek_links,balanced_age_undersampling,balanced_age_undersampling_oversampling,balanced_age_undersampling_smote,balanced_sex_jittering,balanced_sex_oversampling,balanced_sex_oversampling_tomek,balanced_sex_patient_aware_undersampling,balanced_sex_smote,balanced_sex_smote_tomek,balanced_sex_tomek_links,balanced_sex_undersampling,balanced_sex_undersampling_oversampling,balanced_sex_undersampling_smote,original
balanced_age_jittering,1.0,1.0,0.9517,1.0,1.0,1.0,0.0207,1.0,1.0,1.0,0.9682,0.0357,0.2729,0.6507,0.025,0.0593,0.2156,0.11,0.167,0.3386,0.146
balanced_age_oversampling,1.0,1.0,0.9996,1.0,1.0,1.0,0.146,1.0,1.0,1.0,0.9999,0.2156,0.7267,0.9632,0.167,0.3047,0.6507,0.4501,0.5705,0.7953,0.53
balanced_age_oversampling_tomek,0.9517,0.9996,1.0,0.7621,1.0,1.0,0.9377,0.7953,0.9996,1.0,1.0,0.9725,1.0,1.0,0.9517,0.99,0.9999,0.9982,0.9996,1.0,0.9993
balanced_age_patient_aware_undersampling,1.0,1.0,0.7621,1.0,0.9993,0.9991,0.0042,1.0,1.0,0.9982,0.811,0.0078,0.0949,0.3386,0.0052,0.0142,0.0696,0.0299,0.0502,0.127,0.0424
balanced_age_smote,1.0,1.0,1.0,0.9993,1.0,1.0,0.3047,0.9996,1.0,1.0,1.0,0.4115,0.9017,0.9955,0.3386,0.53,0.8541,0.6894,0.7953,0.9377,0.7621
balanced_age_smote_tomek,1.0,1.0,1.0,0.9991,1.0,1.0,0.3214,0.9995,1.0,1.0,1.0,0.4307,0.9118,0.9963,0.3562,0.5503,0.8671,0.7082,0.811,0.945,0.779
balanced_age_tomek_links,0.0207,0.146,0.9377,0.0042,0.3047,0.3214,1.0,0.0052,0.146,0.3742,0.9118,1.0,1.0,0.9989,1.0,1.0,1.0,1.0,1.0,1.0,1.0
balanced_age_undersampling,1.0,1.0,0.7953,1.0,0.9996,0.9995,0.0052,1.0,1.0,0.9989,0.8405,0.0096,0.11,0.3742,0.0064,0.0172,0.0814,0.0357,0.0593,0.146,0.0502
balanced_age_undersampling_oversampling,1.0,1.0,0.9996,1.0,1.0,1.0,0.146,1.0,1.0,1.0,0.9999,0.2156,0.7267,0.9632,0.167,0.3047,0.6507,0.4501,0.5705,0.7953,0.53
balanced_age_undersampling_smote,1.0,1.0,1.0,0.9982,1.0,1.0,0.3742,0.9989,1.0,1.0,1.0,0.4897,0.9377,0.9982,0.4115,0.6109,0.9017,0.7621,0.8541,0.9632,0.8261
balanced_sex_jittering,0.9682,0.9999,1.0,0.811,1.0,1.0,0.9118,0.8405,0.9999,1.0,1.0,0.9578,0.9999,1.0,0.9298,0.983,0.9997,0.9963,0.9991,1.0,0.9986
balanced_sex_oversampling,0.0357,0.2156,0.9725,0.0078,0.4115,0.4307,1.0,0.0096,0.2156,0.4897,0.9578,1.0,1.0,0.9998,1.0,1.0,1.0,1.0,1.0,1.0,1.0
balanced_sex_oversampling_tomek,0.2729,0.7267,1.0,0.0949,0.9017,0.9118,1.0,0.11,0.7267,0.9377,0.9999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
balanced_sex_patient_aware_undersampling,0.6507,0.9632,1.0,0.3386,0.9955,0.9963,0.9989,0.3742,0.9632,0.9982,1.0,0.9998,1.0,1.0,0.9993,1.0,1.0,1.0,1.0,1.0,1.0
balanced_sex_smote,0.025,0.167,0.9517,0.0052,0.3386,0.3562,1.0,0.0064,0.167,0.4115,0.9298,1.0,1.0,0.9993,1.0,1.0,1.0,1.0,1.0,1.0,1.0
balanced_sex_smote_tomek,0.0593,0.3047,0.99,0.0142,0.53,0.5503,1.0,0.0172,0.3047,0.6109,0.983,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
balanced_sex_tomek_links,0.2156,0.6507,0.9999,0.0696,0.8541,0.8671,1.0,0.0814,0.6507,0.9017,0.9997,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
balanced_sex_undersampling,0.11,0.4501,0.9982,0.0299,0.6894,0.7082,1.0,0.0357,0.4501,0.7621,0.9963,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
balanced_sex_undersampling_oversampling,0.167,0.5705,0.9996,0.0502,0.7953,0.811,1.0,0.0593,0.5705,0.8541,0.9991,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
balanced_sex_undersampling_smote,0.3386,0.7953,1.0,0.127,0.9377,0.945,1.0,0.146,0.7953,0.9632,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
original,0.146,0.53,0.9993,0.0424,0.7621,0.779,1.0,0.0502,0.53,0.8261,0.9986,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
