condition,balanced_age_oversampling_tomek,balanced_age_undersampling_smote,balanced_sex_oversampling_tomek,balanced_sex_undersampling_smote
balanced_age_oversampling_tomek,1.0,0.4559,0.4559,0.4559
balanced_age_undersampling_smote,0.4559,1.0,0.0173,0.0173
balanced_sex_oversampling_tomek,0.4559,0.0173,1.0,1.0
balanced_sex_undersampling_smote,0.4559,0.0173,1.0,1.0
