family,dataset,range,metric,n_conditions,n_folds,friedman_stat,friedman_pval,significant
random+guided,DIATREND,TBR_2,MAE,4,5,4.92,0.17775,False
random+guided,DIATREND,TBR_1,RMSE,4,5,7.08,0.069391,False
random+guided,DIATREND,TBR_1,MAE,4,5,4.2,0.240662,False
random+guided,DIATREND,TIR,RMSE,4,5,12.12,0.006983,True
random+guided,DIATREND,TIR,MAE,4,5,8.28,0.040566,True
random+guided,DIATREND,TAR_1,RMSE,4,5,13.56,0.00357,True
random+guided,DIATREND,TAR_1,MAE,4,5,13.56,0.00357,True
random+guided,DIATREND,TAR_2,RMSE,4,5,9.72,0.021103,True
random+guided,DIATREND,TAR_2,MAE,4,5,9.6122,0.022167,True
random+guided,DIATREND,ENTIRE,RMSE,4,5,10.68,0.013588,True
random+guided,DIATREND,ENTIRE,MAE,4,5,10.68,0.013588,True
random+guided,REPLACE-BG,TBR_2,RMSE,4,5,3.0,0.391625,False
random+guided,REPLACE-BG,TBR_2,MAE,4,5,1.56,0.668493,False
random+guided,REPLACE-BG,TBR_1,RMSE,4,5,2.04,0.564146,False
random+guided,REPLACE-BG,TBR_1,MAE,4,5,1.08,0.781904,False
random+guided,REPLACE-BG,TIR,RMSE,4,5,3.96,0.265816,False
random+guided,REPLACE-BG,TIR,MAE,4,5,7.8,0.050331,False
random+guided,REPLACE-BG,TAR_1,RMSE,4,5,0.6,0.896432,False
random+guided,REPLACE-BG,TAR_1,MAE,4,5,1.1633,0.761828,False
random+guided,REPLACE-BG,TAR_2,RMSE,4,5,0.36,0.948376,False
random+guided,REPLACE-BG,TAR_2,MAE,4,5,0.36,0.948376,False
random+guided,REPLACE-BG,ENTIRE,RMSE,4,5,1.56,0.668493,False
random+guided,REPLACE-BG,ENTIRE,MAE,4,5,0.6,0.896432,False
random+guided,T1DiabetesGranada,TBR_2,RMSE,4,5,1.32,0.724389,False
random+guided,T1DiabetesGranada,TBR_2,MAE,4,5,1.08,0.781904,False
random+guided,T1DiabetesGranada,TBR_1,RMSE,4,5,0.6,0.896432,False
random+guided,T1DiabetesGranada,TBR_1,MAE,4,5,0.12,0.989334,False
random+guided,T1DiabetesGranada,TIR,RMSE,4,5,1.3125,0.726167,False
random+guided,T1DiabetesGranada,TIR,MAE,4,5,4.2,0.240662,False
random+guided,T1DiabetesGranada,TAR_1,RMSE,4,5,4.92,0.17775,False
random+guided,T1DiabetesGranada,TAR_1,MAE,4,5,2.28,0.516363,False
random+guided,T1DiabetesGranada,TAR_2,RMSE,4,5,1.32,0.724389,False
random+guided,T1DiabetesGranada,TAR_2,MAE,4,5,2.04,0.564146,False
random+guided,T1DiabetesGranada,ENTIRE,RMSE,4,5,1.08,0.781904,False
random+guided,T1DiabetesGranada,ENTIRE,MAE,4,5,0.6,0.896432,False
