condition,balanced_age_patient_aware_undersampling,balanced_age_tomek_links,balanced_age_undersampling,balanced_sex_patient_aware_undersampling,balanced_sex_tomek_links,balanced_sex_undersampling
balanced_age_patient_aware_undersampling,1.0,0.9134,0.326,0.326,0.8451,0.0094
balanced_age_tomek_links,0.9134,1.0,0.9134,0.9134,1.0,0.1681
balanced_age_undersampling,0.326,0.9134,1.0,1.0,0.959,0.7556
balanced_sex_patient_aware_undersampling,0.326,0.9134,1.0,1.0,0.959,0.7556
balanced_sex_tomek_links,0.8451,1.0,0.959,0.959,1.0,0.2388
balanced_sex_undersampling,0.0094,0.1681,0.7556,0.7556,0.2388,1.0
