condition,balanced_age_oversampling,balanced_age_undersampling,balanced_age_undersampling_oversampling,balanced_sex_oversampling,balanced_sex_undersampling,balanced_sex_undersampling_oversampling
balanced_age_oversampling,1.0,0.8451,1.0,0.2014,0.3753,0.1681
balanced_age_undersampling,0.8451,1.0,0.7556,0.007,0.0218,0.0052
balanced_age_undersampling_oversampling,1.0,0.7556,1.0,0.2804,0.4821,0.2388
balanced_sex_oversampling,0.2014,0.007,0.2804,1.0,0.9994,1.0
balanced_sex_undersampling,0.3753,0.0218,0.4821,0.9994,1.0,0.9983
balanced_sex_undersampling_oversampling,0.1681,0.0052,0.2388,1.0,0.9983,1.0
