dataset,condition,dimension,technique,is_original,fold,range,metric,value
DIATREND,balanced_age_jittering,age,jittering,False,2,TBR_1,A,0.02
DIATREND,balanced_age_jittering,age,jittering,False,2,TBR_1,B,0.0
DIATREND,balanced_age_jittering,age,jittering,False,2,TBR_1,C,0.0
DIATREND,balanced_age_jittering,age,jittering,False,2,TBR_1,D,95.83
DIATREND,balanced_age_jittering,age,jittering,False,2,TBR_1,E,4.16
DIATREND,balanced_age_jittering,age,jittering,False,2,TBR_1,A + B,0.02
DIATREND,balanced_age_jittering,age,jittering,False,2,TBR_1,RMSE,63.76
DIATREND,balanced_age_jittering,age,jittering,False,2,TBR_1,MSE,4065.62
DIATREND,balanced_age_jittering,age,jittering,False,2,TBR_1,MAE,57.75
DIATREND,balanced_age_jittering,age,jittering,False,2,TBR_1,MAPE,0.92
DIATREND,balanced_age_jittering,age,jittering,False,2,TIR,A,68.17
DIATREND,balanced_age_jittering,age,jittering,False,2,TIR,B,30.95
DIATREND,balanced_age_jittering,age,jittering,False,2,TIR,C,0.88
DIATREND,balanced_age_jittering,age,jittering,False,2,TIR,D,0.0
DIATREND,balanced_age_jittering,age,jittering,False,2,TIR,E,0.0
DIATREND,balanced_age_jittering,age,jittering,False,2,TIR,A + B,99.12
DIATREND,balanced_age_jittering,age,jittering,False,2,TIR,RMSE,30.93
DIATREND,balanced_age_jittering,age,jittering,False,2,TIR,MSE,956.82
DIATREND,balanced_age_jittering,age,jittering,False,2,TIR,MAE,22.21
DIATREND,balanced_age_jittering,age,jittering,False,2,TIR,MAPE,0.19
DIATREND,balanced_age_jittering,age,jittering,False,2,TAR_1,A,68.4
DIATREND,balanced_age_jittering,age,jittering,False,2,TAR_1,B,29.09
DIATREND,balanced_age_jittering,age,jittering,False,2,TAR_1,C,0.14
DIATREND,balanced_age_jittering,age,jittering,False,2,TAR_1,D,2.37
DIATREND,balanced_age_jittering,age,jittering,False,2,TAR_1,E,0.0
DIATREND,balanced_age_jittering,age,jittering,False,2,TAR_1,A + B,97.49
DIATREND,balanced_age_jittering,age,jittering,False,2,TAR_1,RMSE,43.44
DIATREND,balanced_age_jittering,age,jittering,False,2,TAR_1,MSE,1887.26
DIATREND,balanced_age_jittering,age,jittering,False,2,TAR_1,MAE,34.62
DIATREND,balanced_age_jittering,age,jittering,False,2,TAR_1,MAPE,0.16
DIATREND,balanced_age_jittering,age,jittering,False,2,TAR_2,A,53.82
DIATREND,balanced_age_jittering,age,jittering,False,2,TAR_2,B,34.72
DIATREND,balanced_age_jittering,age,jittering,False,2,TAR_2,C,0.0
DIATREND,balanced_age_jittering,age,jittering,False,2,TAR_2,D,11.46
DIATREND,balanced_age_jittering,age,jittering,False,2,TAR_2,E,0.0
DIATREND,balanced_age_jittering,age,jittering,False,2,TAR_2,A + B,88.54
DIATREND,balanced_age_jittering,age,jittering,False,2,TAR_2,RMSE,74.11
DIATREND,balanced_age_jittering,age,jittering,False,2,TAR_2,MSE,5492.45
DIATREND,balanced_age_jittering,age,jittering,False,2,TAR_2,MAE,62.82
DIATREND,balanced_age_jittering,age,jittering,False,2,TAR_2,MAPE,0.21
DIATREND,balanced_age_jittering,age,jittering,False,2,ENTIRE,A,64.74
DIATREND,balanced_age_jittering,age,jittering,False,2,ENTIRE,B,30.47
DIATREND,balanced_age_jittering,age,jittering,False,2,ENTIRE,C,0.5
DIATREND,balanced_age_jittering,age,jittering,False,2,ENTIRE,D,4.21
DIATREND,balanced_age_jittering,age,jittering,False,2,ENTIRE,E,0.08
DIATREND,balanced_age_jittering,age,jittering,False,2,ENTIRE,A + B,95.21
DIATREND,balanced_age_jittering,age,jittering,False,2,ENTIRE,RMSE,45.11
DIATREND,balanced_age_jittering,age,jittering,False,2,ENTIRE,MSE,2034.92
DIATREND,balanced_age_jittering,age,jittering,False,2,ENTIRE,MAE,33.2
DIATREND,balanced_age_jittering,age,jittering,False,2,ENTIRE,MAPE,0.2
DIATREND,balanced_age_jittering,age,jittering,False,3,TBR_2,A,0.0
DIATREND,balanced_age_jittering,age,jittering,False,3,TBR_2,B,0.0
DIATREND,balanced_age_jittering,age,jittering,False,3,TBR_2,C,0.0
DIATREND,balanced_age_jittering,age,jittering,False,3,TBR_2,D,98.22
DIATREND,balanced_age_jittering,age,jittering,False,3,TBR_2,E,1.78
DIATREND,balanced_age_jittering,age,jittering,False,3,TBR_2,A + B,0.0
DIATREND,balanced_age_jittering,age,jittering,False,3,TBR_2,RMSE,69.67
DIATREND,balanced_age_jittering,age,jittering,False,3,TBR_2,MSE,4854.03
DIATREND,balanced_age_jittering,age,jittering,False,3,TBR_2,MAE,66.25
DIATREND,balanced_age_jittering,age,jittering,False,3,TBR_2,MAPE,1.45
DIATREND,balanced_age_jittering,age,jittering,False,3,TBR_1,A,0.23
DIATREND,balanced_age_jittering,age,jittering,False,3,TBR_1,B,0.0
DIATREND,balanced_age_jittering,age,jittering,False,3,TBR_1,C,0.0
DIATREND,balanced_age_jittering,age,jittering,False,3,TBR_1,D,98.09
DIATREND,balanced_age_jittering,age,jittering,False,3,TBR_1,E,1.68
DIATREND,balanced_age_jittering,age,jittering,False,3,TBR_1,A + B,0.23
DIATREND,balanced_age_jittering,age,jittering,False,3,TBR_1,RMSE,55.26
DIATREND,balanced_age_jittering,age,jittering,False,3,TBR_1,MSE,3054.1
DIATREND,balanced_age_jittering,age,jittering,False,3,TBR_1,MAE,51.7
DIATREND,balanced_age_jittering,age,jittering,False,3,TBR_1,MAPE,0.83
DIATREND,balanced_age_jittering,age,jittering,False,3,TIR,A,70.36
DIATREND,balanced_age_jittering,age,jittering,False,3,TIR,B,29.27
DIATREND,balanced_age_jittering,age,jittering,False,3,TIR,C,0.37
DIATREND,balanced_age_jittering,age,jittering,False,3,TIR,D,0.0
DIATREND,balanced_age_jittering,age,jittering,False,3,TIR,E,0.0
DIATREND,balanced_age_jittering,age,jittering,False,3,TIR,A + B,99.63
DIATREND,balanced_age_jittering,age,jittering,False,3,TIR,RMSE,27.51
DIATREND,balanced_age_jittering,age,jittering,False,3,TIR,MSE,757.02
DIATREND,balanced_age_jittering,age,jittering,False,3,TIR,MAE,20.35
DIATREND,balanced_age_jittering,age,jittering,False,3,TIR,MAPE,0.17
DIATREND,balanced_age_jittering,age,jittering,False,3,TAR_1,A,69.92
DIATREND,balanced_age_jittering,age,jittering,False,3,TAR_1,B,27.8
DIATREND,balanced_age_jittering,age,jittering,False,3,TAR_1,C,0.09
DIATREND,balanced_age_jittering,age,jittering,False,3,TAR_1,D,2.19
DIATREND,balanced_age_jittering,age,jittering,False,3,TAR_1,E,0.0
DIATREND,balanced_age_jittering,age,jittering,False,3,TAR_1,A + B,97.72
DIATREND,balanced_age_jittering,age,jittering,False,3,TAR_1,RMSE,42.44
DIATREND,balanced_age_jittering,age,jittering,False,3,TAR_1,MSE,1801.28
DIATREND,balanced_age_jittering,age,jittering,False,3,TAR_1,MAE,33.85
DIATREND,balanced_age_jittering,age,jittering,False,3,TAR_1,MAPE,0.16
DIATREND,balanced_age_jittering,age,jittering,False,3,TAR_2,A,55.92
DIATREND,balanced_age_jittering,age,jittering,False,3,TAR_2,B,35.58
DIATREND,balanced_age_jittering,age,jittering,False,3,TAR_2,C,0.0
DIATREND,balanced_age_jittering,age,jittering,False,3,TAR_2,D,8.5
DIATREND,balanced_age_jittering,age,jittering,False,3,TAR_2,E,0.0
DIATREND,balanced_age_jittering,age,jittering,False,3,TAR_2,A + B,91.5
DIATREND,balanced_age_jittering,age,jittering,False,3,TAR_2,RMSE,73.0
DIATREND,balanced_age_jittering,age,jittering,False,3,TAR_2,MSE,5328.62
DIATREND,balanced_age_jittering,age,jittering,False,3,TAR_2,MAE,62.09
DIATREND,balanced_age_jittering,age,jittering,False,3,TAR_2,MAPE,0.2
DIATREND,balanced_age_jittering,age,jittering,False,3,ENTIRE,A,66.47
DIATREND,balanced_age_jittering,age,jittering,False,3,ENTIRE,B,29.58
DIATREND,balanced_age_jittering,age,jittering,False,3,ENTIRE,C,0.22
DIATREND,balanced_age_jittering,age,jittering,False,3,ENTIRE,D,3.71
DIATREND,balanced_age_jittering,age,jittering,False,3,ENTIRE,E,0.03
DIATREND,balanced_age_jittering,age,jittering,False,3,ENTIRE,A + B,96.05
DIATREND,balanced_age_jittering,age,jittering,False,3,ENTIRE,RMSE,43.97
DIATREND,balanced_age_jittering,age,jittering,False,3,ENTIRE,MSE,1933.71
DIATREND,balanced_age_jittering,age,jittering,False,3,ENTIRE,MAE,32.34
DIATREND,balanced_age_jittering,age,jittering,False,3,ENTIRE,MAPE,0.18
DIATREND,balanced_age_jittering,age,jittering,False,4,TBR_2,A,6.53
DIATREND,balanced_age_jittering,age,jittering,False,4,TBR_2,B,0.0
DIATREND,balanced_age_jittering,age,jittering,False,4,TBR_2,C,0.0
DIATREND,balanced_age_jittering,age,jittering,False,4,TBR_2,D,91.56
DIATREND,balanced_age_jittering,age,jittering,False,4,TBR_2,E,1.91
DIATREND,balanced_age_jittering,age,jittering,False,4,TBR_2,A + B,6.53
DIATREND,balanced_age_jittering,age,jittering,False,4,TBR_2,RMSE,67.43
DIATREND,balanced_age_jittering,age,jittering,False,4,TBR_2,MSE,4546.96
DIATREND,balanced_age_jittering,age,jittering,False,4,TBR_2,MAE,62.45
DIATREND,balanced_age_jittering,age,jittering,False,4,TBR_2,MAPE,1.4
DIATREND,balanced_age_jittering,age,jittering,False,4,TBR_1,A,1.19
DIATREND,balanced_age_jittering,age,jittering,False,4,TBR_1,B,0.0
DIATREND,balanced_age_jittering,age,jittering,False,4,TBR_1,C,0.0
DIATREND,balanced_age_jittering,age,jittering,False,4,TBR_1,D,96.86
DIATREND,balanced_age_jittering,age,jittering,False,4,TBR_1,E,1.95
DIATREND,balanced_age_jittering,age,jittering,False,4,TBR_1,A + B,1.19
DIATREND,balanced_age_jittering,age,jittering,False,4,TBR_1,RMSE,56.02
DIATREND,balanced_age_jittering,age,jittering,False,4,TBR_1,MSE,3137.95
DIATREND,balanced_age_jittering,age,jittering,False,4,TBR_1,MAE,51.58
DIATREND,balanced_age_jittering,age,jittering,False,4,TBR_1,MAPE,0.83
DIATREND,balanced_age_jittering,age,jittering,False,4,TIR,A,66.13
DIATREND,balanced_age_jittering,age,jittering,False,4,TIR,B,33.38
DIATREND,balanced_age_jittering,age,jittering,False,4,TIR,C,0.49
DIATREND,balanced_age_jittering,age,jittering,False,4,TIR,D,0.0
DIATREND,balanced_age_jittering,age,jittering,False,4,TIR,E,0.0
DIATREND,balanced_age_jittering,age,jittering,False,4,TIR,A + B,99.51
DIATREND,balanced_age_jittering,age,jittering,False,4,TIR,RMSE,29.92
DIATREND,balanced_age_jittering,age,jittering,False,4,TIR,MSE,895.12
DIATREND,balanced_age_jittering,age,jittering,False,4,TIR,MAE,22.46
DIATREND,balanced_age_jittering,age,jittering,False,4,TIR,MAPE,0.19
DIATREND,balanced_age_jittering,age,jittering,False,4,TAR_1,A,65.77
