condition,balanced_age_patient_aware_undersampling,balanced_age_tomek_links,balanced_age_undersampling,balanced_sex_patient_aware_undersampling,balanced_sex_tomek_links,balanced_sex_undersampling
balanced_age_patient_aware_undersampling,1.0,0.0014,0.7556,0.6505,0.0743,0.2388
balanced_age_tomek_links,0.0014,1.0,0.1139,0.1681,0.8451,0.5382
balanced_age_undersampling,0.7556,0.1139,1.0,1.0,0.7556,0.959
balanced_sex_patient_aware_undersampling,0.6505,0.1681,1.0,1.0,0.8451,0.9846
balanced_sex_tomek_links,0.0743,0.8451,0.7556,0.8451,1.0,0.9959
balanced_sex_undersampling,0.2388,0.5382,0.959,0.9846,0.9959,1.0
