condition,balanced_age_patient_aware_undersampling,balanced_age_tomek_links,balanced_age_undersampling,balanced_sex_patient_aware_undersampling,balanced_sex_tomek_links,balanced_sex_undersampling
balanced_age_patient_aware_undersampling,1.0,0.0094,0.9959,0.2388,0.0743,0.0467
balanced_age_tomek_links,0.0094,1.0,0.0467,0.8451,0.9846,0.9959
balanced_age_undersampling,0.9959,0.0467,1.0,0.5382,0.2388,0.1681
balanced_sex_patient_aware_undersampling,0.2388,0.8451,0.5382,1.0,0.9959,0.9846
balanced_sex_tomek_links,0.0743,0.9846,0.2388,0.9959,1.0,1.0
balanced_sex_undersampling,0.0467,0.9959,0.1681,0.9846,1.0,1.0
