condition,balanced_age_jittering,balanced_age_oversampling,balanced_age_oversampling_tomek,balanced_age_smote,balanced_sex_jittering,balanced_sex_oversampling,balanced_sex_oversampling_tomek,balanced_sex_smote
balanced_age_jittering,1.0,0.9982,1.0,0.9999,0.615,0.216,0.1395,0.4811
balanced_age_oversampling,0.9982,1.0,0.9996,1.0,0.216,0.0409,0.0223,0.1395
balanced_age_oversampling_tomek,1.0,0.9996,1.0,1.0,0.5255,0.1624,0.1011,0.3953
balanced_age_smote,0.9999,1.0,1.0,1.0,0.3548,0.0853,0.0496,0.2469
balanced_sex_jittering,0.615,0.216,0.5255,0.3548,1.0,0.9982,0.9909,1.0
balanced_sex_oversampling,0.216,0.0409,0.1624,0.0853,0.9982,1.0,1.0,0.9998
balanced_sex_oversampling_tomek,0.1395,0.0223,0.1011,0.0496,0.9909,1.0,1.0,0.9982
balanced_sex_smote,0.4811,0.1395,0.3953,0.2469,1.0,0.9998,0.9982,1.0
