dataset,condition,dimension,technique,range,metric,mean_original,mean_balanced,cohens_d,effect_size
REPLACE-BG,balanced_age_undersampling_smote,age,undersampling_smote,TBR_2,RMSE,57.286,56.876,0.2914,small
REPLACE-BG,balanced_sex_jittering,sex,jittering,TBR_2,RMSE,57.286,56.466,0.4894,small
REPLACE-BG,balanced_sex_oversampling,sex,oversampling,TBR_2,RMSE,57.286,56.958,0.2231,small
REPLACE-BG,balanced_sex_oversampling_tomek,sex,oversampling_tomek,TBR_2,RMSE,57.286,56.708,0.4728,small
REPLACE-BG,balanced_sex_patient_aware_undersampling,sex,patient_aware_undersampling,TBR_2,RMSE,57.286,56.112,0.9673,large
REPLACE-BG,balanced_sex_smote,sex,smote,TBR_2,RMSE,57.286,57.472,-0.1222,negligible
REPLACE-BG,balanced_sex_smote_tomek,sex,smote_tomek,TBR_2,RMSE,57.286,57.128,0.1193,negligible
REPLACE-BG,balanced_sex_tomek_links,sex,tomek_links,TBR_2,RMSE,57.286,57.35,-0.0448,negligible
REPLACE-BG,balanced_sex_undersampling,sex,undersampling,TBR_2,RMSE,57.286,57.184,0.0657,negligible
REPLACE-BG,balanced_sex_undersampling_oversampling,sex,undersampling_oversampling,TBR_2,RMSE,57.286,56.776,0.3325,small
REPLACE-BG,balanced_sex_undersampling_smote,sex,undersampling_smote,TBR_2,RMSE,57.286,56.514,0.6119,medium
REPLACE-BG,balanced_age_jittering,age,jittering,TBR_2,MAE,54.454,55.14,-0.5922,medium
REPLACE-BG,balanced_age_oversampling,age,oversampling,TBR_2,MAE,54.454,54.286,0.1223,negligible
REPLACE-BG,balanced_age_oversampling_tomek,age,oversampling_tomek,TBR_2,MAE,54.454,54.18,0.2391,small
REPLACE-BG,balanced_age_patient_aware_undersampling,age,patient_aware_undersampling,TBR_2,MAE,54.454,55.06,-0.3474,small
REPLACE-BG,balanced_age_smote,age,smote,TBR_2,MAE,54.454,53.812,0.4539,small
REPLACE-BG,balanced_age_smote_tomek,age,smote_tomek,TBR_2,MAE,54.454,54.294,0.1097,negligible
REPLACE-BG,balanced_age_tomek_links,age,tomek_links,TBR_2,MAE,54.454,54.17,0.1659,negligible
REPLACE-BG,balanced_age_undersampling,age,undersampling,TBR_2,MAE,54.454,54.772,-0.1891,negligible
REPLACE-BG,balanced_age_undersampling_oversampling,age,undersampling_oversampling,TBR_2,MAE,54.454,54.192,0.1559,negligible
REPLACE-BG,balanced_age_undersampling_smote,age,undersampling_smote,TBR_2,MAE,54.454,54.084,0.2479,small
REPLACE-BG,balanced_sex_jittering,sex,jittering,TBR_2,MAE,54.454,53.516,0.5536,medium
REPLACE-BG,balanced_sex_oversampling,sex,oversampling,TBR_2,MAE,54.454,54.144,0.2224,small
REPLACE-BG,balanced_sex_oversampling_tomek,sex,oversampling_tomek,TBR_2,MAE,54.454,53.728,0.6299,medium
REPLACE-BG,balanced_sex_patient_aware_undersampling,sex,patient_aware_undersampling,TBR_2,MAE,54.454,53.052,1.1865,large
REPLACE-BG,balanced_sex_smote,sex,smote,TBR_2,MAE,54.454,54.826,-0.2553,small
REPLACE-BG,balanced_sex_smote_tomek,sex,smote_tomek,TBR_2,MAE,54.454,54.214,0.1921,negligible
REPLACE-BG,balanced_sex_tomek_links,sex,tomek_links,TBR_2,MAE,54.454,54.648,-0.1436,negligible
REPLACE-BG,balanced_sex_undersampling,sex,undersampling,TBR_2,MAE,54.454,54.44,0.0089,negligible
REPLACE-BG,balanced_sex_undersampling_oversampling,sex,undersampling_oversampling,TBR_2,MAE,54.454,53.896,0.3503,small
REPLACE-BG,balanced_sex_undersampling_smote,sex,undersampling_smote,TBR_2,MAE,54.454,53.578,0.6807,medium
REPLACE-BG,balanced_age_jittering,age,jittering,TBR_1,RMSE,42.016,42.436,-0.458,small
REPLACE-BG,balanced_age_oversampling,age,oversampling,TBR_1,RMSE,42.016,41.738,0.3183,small
REPLACE-BG,balanced_age_oversampling_tomek,age,oversampling_tomek,TBR_1,RMSE,42.016,41.678,0.3752,small
REPLACE-BG,balanced_age_patient_aware_undersampling,age,patient_aware_undersampling,TBR_1,RMSE,42.016,42.342,-0.2233,small
REPLACE-BG,balanced_age_smote,age,smote,TBR_1,RMSE,42.016,41.178,0.6328,medium
REPLACE-BG,balanced_age_smote_tomek,age,smote_tomek,TBR_1,RMSE,42.016,41.768,0.1965,negligible
REPLACE-BG,balanced_age_tomek_links,age,tomek_links,TBR_1,RMSE,42.016,41.678,0.2375,small
REPLACE-BG,balanced_age_undersampling,age,undersampling,TBR_1,RMSE,42.016,42.132,-0.0788,negligible
REPLACE-BG,balanced_age_undersampling_oversampling,age,undersampling_oversampling,TBR_1,RMSE,42.016,41.83,0.1526,negligible
REPLACE-BG,balanced_age_undersampling_smote,age,undersampling_smote,TBR_1,RMSE,42.016,41.364,0.6497,medium
REPLACE-BG,balanced_sex_jittering,sex,jittering,TBR_1,RMSE,42.016,41.132,0.6587,medium
REPLACE-BG,balanced_sex_oversampling,sex,oversampling,TBR_1,RMSE,42.016,41.498,0.4211,small
REPLACE-BG,balanced_sex_oversampling_tomek,sex,oversampling_tomek,TBR_1,RMSE,42.016,41.39,0.6219,medium
REPLACE-BG,balanced_sex_patient_aware_undersampling,sex,patient_aware_undersampling,TBR_1,RMSE,42.016,40.944,0.931,large
REPLACE-BG,balanced_sex_smote,sex,smote,TBR_1,RMSE,42.016,42.038,-0.0178,negligible
REPLACE-BG,balanced_sex_smote_tomek,sex,smote_tomek,TBR_1,RMSE,42.016,41.792,0.1993,negligible
REPLACE-BG,balanced_sex_tomek_links,sex,tomek_links,TBR_1,RMSE,42.016,42.07,-0.0479,negligible
REPLACE-BG,balanced_sex_undersampling,sex,undersampling,TBR_1,RMSE,42.016,41.806,0.1832,negligible
REPLACE-BG,balanced_sex_undersampling_oversampling,sex,undersampling_oversampling,TBR_1,RMSE,42.016,41.506,0.4021,small
REPLACE-BG,balanced_sex_undersampling_smote,sex,undersampling_smote,TBR_1,RMSE,42.016,41.268,0.8461,large
REPLACE-BG,balanced_age_jittering,age,jittering,TBR_1,MAE,38.572,39.128,-0.5577,medium
REPLACE-BG,balanced_age_oversampling,age,oversampling,TBR_1,MAE,38.572,38.374,0.2263,small
REPLACE-BG,balanced_age_oversampling_tomek,age,oversampling_tomek,TBR_1,MAE,38.572,38.22,0.419,small
REPLACE-BG,balanced_age_patient_aware_undersampling,age,patient_aware_undersampling,TBR_1,MAE,38.572,39.158,-0.3866,small
REPLACE-BG,balanced_age_smote,age,smote,TBR_1,MAE,38.572,37.68,0.6988,medium
REPLACE-BG,balanced_age_smote_tomek,age,smote_tomek,TBR_1,MAE,38.572,38.422,0.122,negligible
REPLACE-BG,balanced_age_tomek_links,age,tomek_links,TBR_1,MAE,38.572,38.18,0.2668,small
REPLACE-BG,balanced_age_undersampling,age,undersampling,TBR_1,MAE,38.572,38.842,-0.1876,negligible
REPLACE-BG,balanced_age_undersampling_oversampling,age,undersampling_oversampling,TBR_1,MAE,38.572,38.39,0.1412,negligible
REPLACE-BG,balanced_age_undersampling_smote,age,undersampling_smote,TBR_1,MAE,38.572,37.886,0.5748,medium
REPLACE-BG,balanced_sex_jittering,sex,jittering,TBR_1,MAE,38.572,37.492,0.8052,large
REPLACE-BG,balanced_sex_oversampling,sex,oversampling,TBR_1,MAE,38.572,37.98,0.5266,medium
REPLACE-BG,balanced_sex_oversampling_tomek,sex,oversampling_tomek,TBR_1,MAE,38.572,37.784,0.8611,large
REPLACE-BG,balanced_sex_patient_aware_undersampling,sex,patient_aware_undersampling,TBR_1,MAE,38.572,37.266,1.1762,large
REPLACE-BG,balanced_sex_smote,sex,smote,TBR_1,MAE,38.572,38.768,-0.1695,negligible
REPLACE-BG,balanced_sex_smote_tomek,sex,smote_tomek,TBR_1,MAE,38.572,38.28,0.2876,small
REPLACE-BG,balanced_sex_tomek_links,sex,tomek_links,TBR_1,MAE,38.572,38.782,-0.2094,small
REPLACE-BG,balanced_sex_undersampling,sex,undersampling,TBR_1,MAE,38.572,38.362,0.1736,negligible
REPLACE-BG,balanced_sex_undersampling_oversampling,sex,undersampling_oversampling,TBR_1,MAE,38.572,38.036,0.4153,small
REPLACE-BG,balanced_sex_undersampling_smote,sex,undersampling_smote,TBR_1,MAE,38.572,37.68,1.0066,large
REPLACE-BG,balanced_age_jittering,age,jittering,TIR,RMSE,25.656,25.64,0.0303,negligible
REPLACE-BG,balanced_age_oversampling,age,oversampling,TIR,RMSE,25.656,25.66,-0.0071,negligible
REPLACE-BG,balanced_age_oversampling_tomek,age,oversampling_tomek,TIR,RMSE,25.656,25.674,-0.0326,negligible
REPLACE-BG,balanced_age_patient_aware_undersampling,age,patient_aware_undersampling,TIR,RMSE,25.656,25.814,-0.3107,small
REPLACE-BG,balanced_age_smote,age,smote,TIR,RMSE,25.656,25.826,-0.3113,small
REPLACE-BG,balanced_age_smote_tomek,age,smote_tomek,TIR,RMSE,25.656,25.77,-0.2374,small
REPLACE-BG,balanced_age_tomek_links,age,tomek_links,TIR,RMSE,25.656,25.748,-0.1646,negligible
REPLACE-BG,balanced_age_undersampling,age,undersampling,TIR,RMSE,25.656,25.91,-0.4357,small
REPLACE-BG,balanced_age_undersampling_oversampling,age,undersampling_oversampling,TIR,RMSE,25.656,25.798,-0.2783,small
REPLACE-BG,balanced_age_undersampling_smote,age,undersampling_smote,TIR,RMSE,25.656,25.796,-0.2185,small
REPLACE-BG,balanced_sex_jittering,sex,jittering,TIR,RMSE,25.656,25.74,-0.1497,negligible
REPLACE-BG,balanced_sex_oversampling,sex,oversampling,TIR,RMSE,25.656,25.816,-0.3034,small
REPLACE-BG,balanced_sex_oversampling_tomek,sex,oversampling_tomek,TIR,RMSE,25.656,25.662,-0.0116,negligible
REPLACE-BG,balanced_sex_patient_aware_undersampling,sex,patient_aware_undersampling,TIR,RMSE,25.656,25.752,-0.1917,negligible
REPLACE-BG,balanced_sex_smote,sex,smote,TIR,RMSE,25.656,25.688,-0.0601,negligible
REPLACE-BG,balanced_sex_smote_tomek,sex,smote_tomek,TIR,RMSE,25.656,25.78,-0.2216,small
REPLACE-BG,balanced_sex_tomek_links,sex,tomek_links,TIR,RMSE,25.656,25.762,-0.214,small
REPLACE-BG,balanced_sex_undersampling,sex,undersampling,TIR,RMSE,25.656,25.792,-0.2566,small
REPLACE-BG,balanced_sex_undersampling_oversampling,sex,undersampling_oversampling,TIR,RMSE,25.656,25.78,-0.2298,small
REPLACE-BG,balanced_sex_undersampling_smote,sex,undersampling_smote,TIR,RMSE,25.656,25.852,-0.34,small
REPLACE-BG,balanced_age_jittering,age,jittering,TIR,MAE,19.014,19.054,-0.1269,negligible
REPLACE-BG,balanced_age_oversampling,age,oversampling,TIR,MAE,19.014,19.066,-0.1446,negligible
REPLACE-BG,balanced_age_oversampling_tomek,age,oversampling_tomek,TIR,MAE,19.014,19.032,-0.0499,negligible
REPLACE-BG,balanced_age_patient_aware_undersampling,age,patient_aware_undersampling,TIR,MAE,19.014,19.182,-0.5076,medium
REPLACE-BG,balanced_age_smote,age,smote,TIR,MAE,19.014,19.138,-0.3346,small
REPLACE-BG,balanced_age_smote_tomek,age,smote_tomek,TIR,MAE,19.014,19.138,-0.3788,small
REPLACE-BG,balanced_age_tomek_links,age,tomek_links,TIR,MAE,19.014,19.09,-0.2081,small
REPLACE-BG,balanced_age_undersampling,age,undersampling,TIR,MAE,19.014,19.232,-0.5488,medium
REPLACE-BG,balanced_age_undersampling_oversampling,age,undersampling_oversampling,TIR,MAE,19.014,19.11,-0.2968,small
REPLACE-BG,balanced_age_undersampling_smote,age,undersampling_smote,TIR,MAE,19.014,19.122,-0.2829,small
REPLACE-BG,balanced_sex_jittering,sex,jittering,TIR,MAE,19.014,19.046,-0.0858,negligible
REPLACE-BG,balanced_sex_oversampling,sex,oversampling,TIR,MAE,19.014,19.086,-0.2113,small
REPLACE-BG,balanced_sex_oversampling_tomek,sex,oversampling_tomek,TIR,MAE,19.014,18.994,0.0601,negligible
REPLACE-BG,balanced_sex_patient_aware_undersampling,sex,patient_aware_undersampling,TIR,MAE,19.014,19.088,-0.2273,small
REPLACE-BG,balanced_sex_smote,sex,smote,TIR,MAE,19.014,19.084,-0.1898,negligible
REPLACE-BG,balanced_sex_smote_tomek,sex,smote_tomek,TIR,MAE,19.014,19.1,-0.2293,small
REPLACE-BG,balanced_sex_tomek_links,sex,tomek_links,TIR,MAE,19.014,19.148,-0.4078,small
REPLACE-BG,balanced_sex_undersampling,sex,undersampling,TIR,MAE,19.014,19.118,-0.3178,small
REPLACE-BG,balanced_sex_undersampling_oversampling,sex,undersampling_oversampling,TIR,MAE,19.014,19.076,-0.1782,negligible
REPLACE-BG,balanced_sex_undersampling_smote,sex,undersampling_smote,TIR,MAE,19.014,19.154,-0.4164,small
REPLACE-BG,balanced_age_jittering,age,jittering,TAR_1,RMSE,43.176,43.866,-0.6407,medium
REPLACE-BG,balanced_age_oversampling,age,oversampling,TAR_1,RMSE,43.176,43.606,-0.4236,small
REPLACE-BG,balanced_age_oversampling_tomek,age,oversampling_tomek,TAR_1,RMSE,43.176,43.492,-0.2754,small
REPLACE-BG,balanced_age_patient_aware_undersampling,age,patient_aware_undersampling,TAR_1,RMSE,43.176,43.396,-0.1859,negligible
REPLACE-BG,balanced_age_smote,age,smote,TAR_1,RMSE,43.176,43.61,-0.4577,small
REPLACE-BG,balanced_age_smote_tomek,age,smote_tomek,TAR_1,RMSE,43.176,43.718,-0.5282,medium
REPLACE-BG,balanced_age_tomek_links,age,tomek_links,TAR_1,RMSE,43.176,43.384,-0.237,small
REPLACE-BG,balanced_age_undersampling,age,undersampling,TAR_1,RMSE,43.176,43.258,-0.0836,negligible
REPLACE-BG,balanced_age_undersampling_oversampling,age,undersampling_oversampling,TAR_1,RMSE,43.176,43.21,-0.0312,negligible
REPLACE-BG,balanced_age_undersampling_smote,age,undersampling_smote,TAR_1,RMSE,43.176,43.49,-0.3219,small
REPLACE-BG,balanced_sex_jittering,sex,jittering,TAR_1,RMSE,43.176,43.28,-0.089,negligible
REPLACE-BG,balanced_sex_oversampling,sex,oversampling,TAR_1,RMSE,43.176,43.226,-0.0473,negligible
REPLACE-BG,balanced_sex_oversampling_tomek,sex,oversampling_tomek,TAR_1,RMSE,43.176,43.34,-0.1628,negligible
REPLACE-BG,balanced_sex_patient_aware_undersampling,sex,patient_aware_undersampling,TAR_1,RMSE,43.176,43.596,-0.413,small
REPLACE-BG,balanced_sex_smote,sex,smote,TAR_1,RMSE,43.176,43.496,-0.253,small
REPLACE-BG,balanced_sex_smote_tomek,sex,smote_tomek,TAR_1,RMSE,43.176,43.186,-0.0105,negligible
REPLACE-BG,balanced_sex_tomek_links,sex,tomek_links,TAR_1,RMSE,43.176,43.504,-0.3557,small
REPLACE-BG,balanced_sex_undersampling,sex,undersampling,TAR_1,RMSE,43.176,43.344,-0.1713,negligible
REPLACE-BG,balanced_sex_undersampling_oversampling,sex,undersampling_oversampling,TAR_1,RMSE,43.176,43.404,-0.2209,small
REPLACE-BG,balanced_sex_undersampling_smote,sex,undersampling_smote,TAR_1,RMSE,43.176,43.632,-0.4559,small
REPLACE-BG,balanced_age_jittering,age,jittering,TAR_1,MAE,34.56,35.158,-0.6492,medium
REPLACE-BG,balanced_age_oversampling,age,oversampling,TAR_1,MAE,34.56,34.924,-0.4348,small
REPLACE-BG,balanced_age_oversampling_tomek,age,oversampling_tomek,TAR_1,MAE,34.56,34.756,-0.1934,negligible
REPLACE-BG,balanced_age_patient_aware_undersampling,age,patient_aware_undersampling,TAR_1,MAE,34.56,34.596,-0.0369,negligible
REPLACE-BG,balanced_age_smote,age,smote,TAR_1,MAE,34.56,34.838,-0.3789,small
REPLACE-BG,balanced_age_smote_tomek,age,smote_tomek,TAR_1,MAE,34.56,34.968,-0.498,small
REPLACE-BG,balanced_age_tomek_links,age,tomek_links,TAR_1,MAE,34.56,34.63,-0.1034,negligible
REPLACE-BG,balanced_age_undersampling,age,undersampling,TAR_1,MAE,34.56,34.422,0.1813,negligible
REPLACE-BG,balanced_age_undersampling_oversampling,age,undersampling_oversampling,TAR_1,MAE,34.56,34.374,0.212,small
REPLACE-BG,balanced_age_undersampling_smote,age,undersampling_smote,TAR_1,MAE,34.56,34.67,-0.1473,negligible
REPLACE-BG,balanced_sex_jittering,sex,jittering,TAR_1,MAE,34.56,34.462,0.0962,negligible
REPLACE-BG,balanced_sex_oversampling,sex,oversampling,TAR_1,MAE,34.56,34.402,0.1848,negligible
REPLACE-BG,balanced_sex_oversampling_tomek,sex,oversampling_tomek,TAR_1,MAE,34.56,34.612,-0.064,negligible
REPLACE-BG,balanced_sex_patient_aware_undersampling,sex,patient_aware_undersampling,TAR_1,MAE,34.56,34.852,-0.335,small
REPLACE-BG,balanced_sex_smote,sex,smote,TAR_1,MAE,34.56,34.804,-0.2163,small
REPLACE-BG,balanced_sex_smote_tomek,sex,smote_tomek,TAR_1,MAE,34.56,34.386,0.2265,small
REPLACE-BG,balanced_sex_tomek_links,sex,tomek_links,TAR_1,MAE,34.56,34.744,-0.2484,small
REPLACE-BG,balanced_sex_undersampling,sex,undersampling,TAR_1,MAE,34.56,34.586,-0.0346,negligible
REPLACE-BG,balanced_sex_undersampling_oversampling,sex,undersampling_oversampling,TAR_1,MAE,34.56,34.604,-0.0531,negligible
REPLACE-BG,balanced_sex_undersampling_smote,sex,undersampling_smote,TAR_1,MAE,34.56,34.882,-0.4146,small
REPLACE-BG,balanced_age_jittering,age,jittering,TAR_2,RMSE,69.312,69.636,-0.3628,small
REPLACE-BG,balanced_age_oversampling,age,oversampling,TAR_2,RMSE,69.312,68.522,0.9017,large
REPLACE-BG,balanced_age_oversampling_tomek,age,oversampling_tomek,TAR_2,RMSE,69.312,68.212,1.1752,large
REPLACE-BG,balanced_age_patient_aware_undersampling,age,patient_aware_undersampling,TAR_2,RMSE,69.312,68.832,0.3996,small
REPLACE-BG,balanced_age_smote,age,smote,TAR_2,RMSE,69.312,68.402,1.021,large
REPLACE-BG,balanced_age_smote_tomek,age,smote_tomek,TAR_2,RMSE,69.312,68.02,1.3757,large
REPLACE-BG,balanced_age_tomek_links,age,tomek_links,TAR_2,RMSE,69.312,67.924,1.308,large
REPLACE-BG,balanced_age_undersampling,age,undersampling,TAR_2,RMSE,69.312,69.014,0.2533,small
REPLACE-BG,balanced_age_undersampling_oversampling,age,undersampling_oversampling,TAR_2,RMSE,69.312,68.126,1.0695,large
REPLACE-BG,balanced_age_undersampling_smote,age,undersampling_smote,TAR_2,RMSE,69.312,68.358,0.7665,medium
REPLACE-BG,balanced_sex_jittering,sex,jittering,TAR_2,RMSE,69.312,68.782,0.4692,small
REPLACE-BG,balanced_sex_oversampling,sex,oversampling,TAR_2,RMSE,69.312,68.134,1.2007,large
REPLACE-BG,balanced_sex_oversampling_tomek,sex,oversampling_tomek,TAR_2,RMSE,69.312,68.304,1.0199,large
REPLACE-BG,balanced_sex_patient_aware_undersampling,sex,patient_aware_undersampling,TAR_2,RMSE,69.312,68.502,0.9279,large
REPLACE-BG,balanced_sex_smote,sex,smote,TAR_2,RMSE,69.312,68.958,0.3798,small
REPLACE-BG,balanced_sex_smote_tomek,sex,smote_tomek,TAR_2,RMSE,69.312,67.916,1.5253,large
REPLACE-BG,balanced_sex_tomek_links,sex,tomek_links,TAR_2,RMSE,69.312,68.598,0.8777,large
REPLACE-BG,balanced_sex_undersampling,sex,undersampling,TAR_2,RMSE,69.312,68.408,0.8655,large
REPLACE-BG,balanced_sex_undersampling_oversampling,sex,undersampling_oversampling,TAR_2,RMSE,69.312,68.838,0.3805,small
REPLACE-BG,balanced_sex_undersampling_smote,sex,undersampling_smote,TAR_2,RMSE,69.312,68.248,0.921,large
REPLACE-BG,balanced_age_jittering,age,jittering,TAR_2,MAE,59.366,59.494,-0.1512,negligible
REPLACE-BG,balanced_age_oversampling,age,oversampling,TAR_2,MAE,59.366,58.296,1.3246,large
REPLACE-BG,balanced_age_oversampling_tomek,age,oversampling_tomek,TAR_2,MAE,59.366,57.928,1.3923,large
REPLACE-BG,balanced_age_patient_aware_undersampling,age,patient_aware_undersampling,TAR_2,MAE,59.366,58.57,0.6966,medium
REPLACE-BG,balanced_age_smote,age,smote,TAR_2,MAE,59.366,58.186,1.4538,large
REPLACE-BG,balanced_age_smote_tomek,age,smote_tomek,TAR_2,MAE,59.366,57.68,1.7091,large
REPLACE-BG,balanced_age_tomek_links,age,tomek_links,TAR_2,MAE,59.366,57.676,1.6532,large
REPLACE-BG,balanced_age_undersampling,age,undersampling,TAR_2,MAE,59.366,58.794,0.4332,small
REPLACE-BG,balanced_age_undersampling_oversampling,age,undersampling_oversampling,TAR_2,MAE,59.366,57.79,1.4488,large
REPLACE-BG,balanced_age_undersampling_smote,age,undersampling_smote,TAR_2,MAE,59.366,58.172,0.9582,large
REPLACE-BG,balanced_sex_jittering,sex,jittering,TAR_2,MAE,59.366,58.676,0.6,medium
REPLACE-BG,balanced_sex_oversampling,sex,oversampling,TAR_2,MAE,59.366,57.904,1.5478,large
REPLACE-BG,balanced_sex_oversampling_tomek,sex,oversampling_tomek,TAR_2,MAE,59.366,58.128,1.1797,large
REPLACE-BG,balanced_sex_patient_aware_undersampling,sex,patient_aware_undersampling,TAR_2,MAE,59.366,58.354,1.1693,large
REPLACE-BG,balanced_sex_smote,sex,smote,TAR_2,MAE,59.366,58.818,0.55,medium
REPLACE-BG,balanced_sex_smote_tomek,sex,smote_tomek,TAR_2,MAE,59.366,57.622,2.0171,large
REPLACE-BG,balanced_sex_tomek_links,sex,tomek_links,TAR_2,MAE,59.366,58.438,1.1949,large
REPLACE-BG,balanced_sex_undersampling,sex,undersampling,TAR_2,MAE,59.366,58.124,1.1376,large
REPLACE-BG,balanced_sex_undersampling_oversampling,sex,undersampling_oversampling,TAR_2,MAE,59.366,58.646,0.5703,medium
REPLACE-BG,balanced_sex_undersampling_smote,sex,undersampling_smote,TAR_2,MAE,59.366,58.004,1.2934,large
REPLACE-BG,balanced_age_jittering,age,jittering,ENTIRE,RMSE,37.004,37.252,-0.3109,small
REPLACE-BG,balanced_age_oversampling,age,oversampling,ENTIRE,RMSE,37.004,36.972,0.0401,negligible
REPLACE-BG,balanced_age_oversampling_tomek,age,oversampling_tomek,ENTIRE,RMSE,37.004,36.896,0.1237,negligible
REPLACE-BG,balanced_age_patient_aware_undersampling,age,patient_aware_undersampling,ENTIRE,RMSE,37.004,37.058,-0.0694,negligible
REPLACE-BG,balanced_age_smote,age,smote,ENTIRE,RMSE,37.004,37.0,0.005,negligible
REPLACE-BG,balanced_age_smote_tomek,age,smote_tomek,ENTIRE,RMSE,37.004,36.966,0.0461,negligible
REPLACE-BG,balanced_age_tomek_links,age,tomek_links,ENTIRE,RMSE,37.004,36.85,0.1922,negligible
REPLACE-BG,balanced_age_undersampling,age,undersampling,ENTIRE,RMSE,37.004,37.116,-0.1161,negligible
REPLACE-BG,balanced_age_undersampling_oversampling,age,undersampling_oversampling,ENTIRE,RMSE,37.004,36.858,0.1866,negligible
REPLACE-BG,balanced_age_undersampling_smote,age,undersampling_smote,ENTIRE,RMSE,37.004,36.962,0.052,negligible
REPLACE-BG,balanced_sex_jittering,sex,jittering,ENTIRE,RMSE,37.004,36.934,0.0847,negligible
REPLACE-BG,balanced_sex_oversampling,sex,oversampling,ENTIRE,RMSE,37.004,36.862,0.1809,negligible
REPLACE-BG,balanced_sex_oversampling_tomek,sex,oversampling_tomek,ENTIRE,RMSE,37.004,36.852,0.1782,negligible
REPLACE-BG,balanced_sex_patient_aware_undersampling,sex,patient_aware_undersampling,ENTIRE,RMSE,37.004,36.972,0.0389,negligible
REPLACE-BG,balanced_sex_smote,sex,smote,ENTIRE,RMSE,37.004,37.04,-0.0428,negligible
REPLACE-BG,balanced_sex_smote_tomek,sex,smote_tomek,ENTIRE,RMSE,37.004,36.814,0.232,small
REPLACE-BG,balanced_sex_tomek_links,sex,tomek_links,ENTIRE,RMSE,37.004,37.022,-0.0221,negligible
REPLACE-BG,balanced_sex_undersampling,sex,undersampling,ENTIRE,RMSE,37.004,36.948,0.0724,negligible
REPLACE-BG,balanced_sex_undersampling_oversampling,sex,undersampling_oversampling,ENTIRE,RMSE,37.004,37.016,-0.0142,negligible
REPLACE-BG,balanced_sex_undersampling_smote,sex,undersampling_smote,ENTIRE,RMSE,37.004,36.99,0.0193,negligible
REPLACE-BG,balanced_age_jittering,age,jittering,ENTIRE,MAE,27.154,27.35,-0.2795,small
REPLACE-BG,balanced_age_oversampling,age,oversampling,ENTIRE,MAE,27.154,27.162,-0.0111,negligible
REPLACE-BG,balanced_age_oversampling_tomek,age,oversampling_tomek,ENTIRE,MAE,27.154,27.07,0.1062,negligible
REPLACE-BG,balanced_age_patient_aware_undersampling,age,patient_aware_undersampling,ENTIRE,MAE,27.154,27.212,-0.0778,negligible
REPLACE-BG,balanced_age_smote,age,smote,ENTIRE,MAE,27.154,27.162,-0.0106,negligible
REPLACE-BG,balanced_age_smote_tomek,age,smote_tomek,ENTIRE,MAE,27.154,27.168,-0.0182,negligible
REPLACE-BG,balanced_age_tomek_links,age,tomek_links,ENTIRE,MAE,27.154,27.05,0.1433,negligible
REPLACE-BG,balanced_age_undersampling,age,undersampling,ENTIRE,MAE,27.154,27.24,-0.1021,negligible
REPLACE-BG,balanced_age_undersampling_oversampling,age,undersampling_oversampling,ENTIRE,MAE,27.154,27.014,0.1921,negligible
REPLACE-BG,balanced_age_undersampling_smote,age,undersampling_smote,ENTIRE,MAE,27.154,27.118,0.0508,negligible
REPLACE-BG,balanced_sex_jittering,sex,jittering,ENTIRE,MAE,27.154,27.046,0.1447,negligible
REPLACE-BG,balanced_sex_oversampling,sex,oversampling,ENTIRE,MAE,27.154,27.01,0.1984,negligible
REPLACE-BG,balanced_sex_oversampling_tomek,sex,oversampling_tomek,ENTIRE,MAE,27.154,27.014,0.1815,negligible
REPLACE-BG,balanced_sex_patient_aware_undersampling,sex,patient_aware_undersampling,ENTIRE,MAE,27.154,27.13,0.0307,negligible
REPLACE-BG,balanced_sex_smote,sex,smote,ENTIRE,MAE,27.154,27.206,-0.0671,negligible
REPLACE-BG,balanced_sex_smote_tomek,sex,smote_tomek,ENTIRE,MAE,27.154,27.004,0.2,negligible
REPLACE-BG,balanced_sex_tomek_links,sex,tomek_links,ENTIRE,MAE,27.154,27.206,-0.0699,negligible
REPLACE-BG,balanced_sex_undersampling,sex,undersampling,ENTIRE,MAE,27.154,27.112,0.0594,negligible
REPLACE-BG,balanced_sex_undersampling_oversampling,sex,undersampling_oversampling,ENTIRE,MAE,27.154,27.122,0.0415,negligible
REPLACE-BG,balanced_sex_undersampling_smote,sex,undersampling_smote,ENTIRE,MAE,27.154,27.154,-0.0,negligible
T1DiabetesGranada,balanced_age_jittering,age,jittering,TBR_2,RMSE,39.376,39.812,-0.3248,small
T1DiabetesGranada,balanced_age_oversampling,age,oversampling,TBR_2,RMSE,39.376,39.442,-0.0476,negligible
T1DiabetesGranada,balanced_age_oversampling_tomek,age,oversampling_tomek,TBR_2,RMSE,39.376,39.018,0.2294,small
T1DiabetesGranada,balanced_age_patient_aware_undersampling,age,patient_aware_undersampling,TBR_2,RMSE,39.376,39.834,-0.3116,small
T1DiabetesGranada,balanced_age_smote,age,smote,TBR_2,RMSE,39.376,38.74,0.4425,small
T1DiabetesGranada,balanced_age_smote_tomek,age,smote_tomek,TBR_2,RMSE,39.376,39.046,0.2661,small
T1DiabetesGranada,balanced_age_tomek_links,age,tomek_links,TBR_2,RMSE,39.376,39.492,-0.0876,negligible
T1DiabetesGranada,balanced_age_undersampling,age,undersampling,TBR_2,RMSE,39.376,39.494,-0.0836,negligible
