dataset,condition,dimension,technique,range,metric,mean_original,mean_balanced,cohens_d,effect_size
DIATREND,balanced_age_undersampling_smote,age,undersampling_smote,TBR_1,RMSE,59.826,57.636,0.5261,medium
DIATREND,balanced_sex_jittering,sex,jittering,TBR_1,RMSE,59.826,59.414,0.1004,negligible
DIATREND,balanced_sex_oversampling,sex,oversampling,TBR_1,RMSE,59.826,59.454,0.1027,negligible
DIATREND,balanced_sex_oversampling_tomek,sex,oversampling_tomek,TBR_1,RMSE,59.826,59.812,0.0035,negligible
DIATREND,balanced_sex_patient_aware_undersampling,sex,patient_aware_undersampling,TBR_1,RMSE,59.826,60.168,-0.0895,negligible
DIATREND,balanced_sex_smote,sex,smote,TBR_1,RMSE,59.826,59.242,0.151,negligible
DIATREND,balanced_sex_smote_tomek,sex,smote_tomek,TBR_1,RMSE,59.826,59.058,0.2049,small
DIATREND,balanced_sex_tomek_links,sex,tomek_links,TBR_1,RMSE,59.826,58.976,0.2379,small
DIATREND,balanced_sex_undersampling,sex,undersampling,TBR_1,RMSE,59.826,59.278,0.1302,negligible
DIATREND,balanced_sex_undersampling_oversampling,sex,undersampling_oversampling,TBR_1,RMSE,59.826,59.184,0.1545,negligible
DIATREND,balanced_sex_undersampling_smote,sex,undersampling_smote,TBR_1,RMSE,59.826,59.206,0.1342,negligible
DIATREND,balanced_age_jittering,age,jittering,TBR_1,MAE,55.154,53.978,0.3598,small
DIATREND,balanced_age_oversampling,age,oversampling,TBR_1,MAE,55.154,53.258,0.6181,medium
DIATREND,balanced_age_oversampling_tomek,age,oversampling_tomek,TBR_1,MAE,55.154,52.61,1.07,large
DIATREND,balanced_age_patient_aware_undersampling,age,patient_aware_undersampling,TBR_1,MAE,55.154,58.742,-1.1336,large
DIATREND,balanced_age_smote,age,smote,TBR_1,MAE,55.154,52.234,0.9581,large
DIATREND,balanced_age_smote_tomek,age,smote_tomek,TBR_1,MAE,55.154,52.92,0.6795,medium
DIATREND,balanced_age_tomek_links,age,tomek_links,TBR_1,MAE,55.154,54.304,0.2972,small
DIATREND,balanced_age_undersampling,age,undersampling,TBR_1,MAE,55.154,58.018,-0.9823,large
DIATREND,balanced_age_undersampling_oversampling,age,undersampling_oversampling,TBR_1,MAE,55.154,54.424,0.2863,small
DIATREND,balanced_age_undersampling_smote,age,undersampling_smote,TBR_1,MAE,55.154,53.154,0.6336,medium
DIATREND,balanced_sex_jittering,sex,jittering,TBR_1,MAE,55.154,54.74,0.1392,negligible
DIATREND,balanced_sex_oversampling,sex,oversampling,TBR_1,MAE,55.154,54.624,0.2117,small
DIATREND,balanced_sex_oversampling_tomek,sex,oversampling_tomek,TBR_1,MAE,55.154,55.198,-0.0147,negligible
DIATREND,balanced_sex_patient_aware_undersampling,sex,patient_aware_undersampling,TBR_1,MAE,55.154,56.182,-0.372,small
DIATREND,balanced_sex_smote,sex,smote,TBR_1,MAE,55.154,54.434,0.2558,small
DIATREND,balanced_sex_smote_tomek,sex,smote_tomek,TBR_1,MAE,55.154,54.258,0.3616,small
DIATREND,balanced_sex_tomek_links,sex,tomek_links,TBR_1,MAE,55.154,54.222,0.3787,small
DIATREND,balanced_sex_undersampling,sex,undersampling,TBR_1,MAE,55.154,54.708,0.142,negligible
DIATREND,balanced_sex_undersampling_oversampling,sex,undersampling_oversampling,TBR_1,MAE,55.154,54.418,0.2398,small
DIATREND,balanced_sex_undersampling_smote,sex,undersampling_smote,TBR_1,MAE,55.154,54.682,0.1299,negligible
DIATREND,balanced_age_jittering,age,jittering,TIR,RMSE,30.722,29.512,1.0283,large
DIATREND,balanced_age_oversampling,age,oversampling,TIR,RMSE,30.722,29.358,1.2409,large
DIATREND,balanced_age_oversampling_tomek,age,oversampling_tomek,TIR,RMSE,30.722,29.776,0.8171,large
DIATREND,balanced_age_patient_aware_undersampling,age,patient_aware_undersampling,TIR,RMSE,30.722,30.172,0.4319,small
DIATREND,balanced_age_smote,age,smote,TIR,RMSE,30.722,29.602,0.9832,large
DIATREND,balanced_age_smote_tomek,age,smote_tomek,TIR,RMSE,30.722,29.704,0.8719,large
DIATREND,balanced_age_tomek_links,age,tomek_links,TIR,RMSE,30.722,30.486,0.2099,small
DIATREND,balanced_age_undersampling,age,undersampling,TIR,RMSE,30.722,30.554,0.1284,negligible
DIATREND,balanced_age_undersampling_oversampling,age,undersampling_oversampling,TIR,RMSE,30.722,29.596,0.9564,large
DIATREND,balanced_age_undersampling_smote,age,undersampling_smote,TIR,RMSE,30.722,29.76,0.8752,large
DIATREND,balanced_sex_jittering,sex,jittering,TIR,RMSE,30.722,30.224,0.433,small
DIATREND,balanced_sex_oversampling,sex,oversampling,TIR,RMSE,30.722,30.276,0.4143,small
DIATREND,balanced_sex_oversampling_tomek,sex,oversampling_tomek,TIR,RMSE,30.722,30.27,0.3936,small
DIATREND,balanced_sex_patient_aware_undersampling,sex,patient_aware_undersampling,TIR,RMSE,30.722,30.166,0.473,small
DIATREND,balanced_sex_smote,sex,smote,TIR,RMSE,30.722,30.288,0.4325,small
DIATREND,balanced_sex_smote_tomek,sex,smote_tomek,TIR,RMSE,30.722,30.4,0.2716,small
DIATREND,balanced_sex_tomek_links,sex,tomek_links,TIR,RMSE,30.722,30.344,0.3427,small
DIATREND,balanced_sex_undersampling,sex,undersampling,TIR,RMSE,30.722,30.326,0.3709,small
DIATREND,balanced_sex_undersampling_oversampling,sex,undersampling_oversampling,TIR,RMSE,30.722,30.314,0.3704,small
DIATREND,balanced_sex_undersampling_smote,sex,undersampling_smote,TIR,RMSE,30.722,30.254,0.3985,small
DIATREND,balanced_age_jittering,age,jittering,TIR,MAE,22.668,21.876,0.9746,large
DIATREND,balanced_age_oversampling,age,oversampling,TIR,MAE,22.668,21.726,1.4084,large
DIATREND,balanced_age_oversampling_tomek,age,oversampling_tomek,TIR,MAE,22.668,21.902,1.1,large
DIATREND,balanced_age_patient_aware_undersampling,age,patient_aware_undersampling,TIR,MAE,22.668,22.61,0.0736,negligible
DIATREND,balanced_age_smote,age,smote,TIR,MAE,22.668,21.824,1.1976,large
