condition,balanced_age_jittering,balanced_age_oversampling,balanced_age_oversampling_tomek,balanced_age_smote,balanced_sex_jittering,balanced_sex_oversampling,balanced_sex_oversampling_tomek,balanced_sex_smote
balanced_age_jittering,1.0,0.816,0.0336,0.3164,0.8483,0.0496,0.3953,0.9788
balanced_age_oversampling,0.816,1.0,0.7015,0.9944,1.0,0.7805,0.9982,0.9996
balanced_age_oversampling_tomek,0.0336,0.7015,1.0,0.9858,0.6589,1.0,0.9695,0.3548
balanced_age_smote,0.3164,0.9944,0.9858,1.0,0.9909,0.9944,1.0,0.9025
balanced_sex_jittering,0.8483,1.0,0.6589,0.9909,1.0,0.7422,0.9967,0.9998
balanced_sex_oversampling,0.0496,0.7805,1.0,0.9944,0.7422,1.0,0.9858,0.4375
balanced_sex_oversampling_tomek,0.3953,0.9982,0.9695,1.0,0.9967,0.9858,1.0,0.9426
balanced_sex_smote,0.9788,0.9996,0.3548,0.9025,0.9998,0.4375,0.9426,1.0
