condition,balanced_age_patient_aware_undersampling,balanced_age_tomek_links,balanced_age_undersampling,balanced_sex_patient_aware_undersampling,balanced_sex_tomek_links,balanced_sex_undersampling
balanced_age_patient_aware_undersampling,1.0,0.0284,0.9846,0.6505,0.0166,0.2388
balanced_age_tomek_links,0.0284,1.0,0.1681,0.6505,1.0,0.959
balanced_age_undersampling,0.9846,0.1681,1.0,0.959,0.1139,0.6505
balanced_sex_patient_aware_undersampling,0.6505,0.6505,0.959,1.0,0.5382,0.9846
balanced_sex_tomek_links,0.0166,1.0,0.1139,0.5382,1.0,0.9134
balanced_sex_undersampling,0.2388,0.959,0.6505,0.9846,0.9134,1.0
