condition,balanced_age_jittering,balanced_age_patient_aware_undersampling,balanced_age_smote,balanced_age_smote_tomek,balanced_age_tomek_links,balanced_sex_jittering,balanced_sex_patient_aware_undersampling,balanced_sex_smote,balanced_sex_smote_tomek,balanced_sex_tomek_links
balanced_age_jittering,1.0,1.0,0.998,0.9795,0.0286,0.8119,0.4613,0.0141,0.0398,0.1296
balanced_age_patient_aware_undersampling,1.0,1.0,0.9398,0.8119,0.0044,0.4613,0.1672,0.0019,0.0066,0.0286
balanced_age_smote,0.998,0.9398,1.0,1.0,0.2646,0.998,0.9398,0.1672,0.3242,0.6101
balanced_age_smote_tomek,0.9795,0.8119,1.0,1.0,0.4613,1.0,0.9895,0.3242,0.5353,0.8119
balanced_age_tomek_links,0.0286,0.0044,0.2646,0.4613,1.0,0.8119,0.9795,1.0,1.0,1.0
balanced_sex_jittering,0.8119,0.4613,0.998,1.0,0.8119,1.0,1.0,0.6828,0.8643,0.9795
balanced_sex_patient_aware_undersampling,0.4613,0.1672,0.9398,0.9895,0.9795,1.0,1.0,0.9398,0.9895,0.9998
balanced_sex_smote,0.0141,0.0019,0.1672,0.3242,1.0,0.6828,0.9398,1.0,1.0,0.9993
balanced_sex_smote_tomek,0.0398,0.0066,0.3242,0.5353,1.0,0.8643,0.9895,1.0,1.0,1.0
balanced_sex_tomek_links,0.1296,0.0286,0.6101,0.8119,1.0,0.9795,0.9998,0.9993,1.0,1.0
