condition,balanced_age_jittering,balanced_age_oversampling,balanced_age_oversampling_tomek,balanced_age_smote,balanced_sex_jittering,balanced_sex_oversampling,balanced_sex_oversampling_tomek,balanced_sex_smote
balanced_age_jittering,1.0,0.9695,0.2804,0.9025,0.3548,0.0027,0.0115,0.0027
balanced_age_oversampling,0.9695,1.0,0.9025,1.0,0.9426,0.0853,0.216,0.0853
balanced_age_oversampling_tomek,0.2804,0.9025,1.0,0.9695,1.0,0.7805,0.9426,0.7805
balanced_age_smote,0.9025,1.0,0.9695,1.0,0.9858,0.1624,0.3548,0.1624
balanced_sex_jittering,0.3548,0.9426,1.0,0.9858,1.0,0.7015,0.9025,0.7015
balanced_sex_oversampling,0.0027,0.0853,0.7805,0.1624,0.7015,1.0,0.9999,1.0
balanced_sex_oversampling_tomek,0.0115,0.216,0.9426,0.3548,0.9025,0.9999,1.0,0.9999
balanced_sex_smote,0.0027,0.0853,0.7805,0.1624,0.7015,1.0,0.9999,1.0
