condition,balanced_age_oversampling_tomek,balanced_age_smote_tomek,balanced_age_undersampling_oversampling,balanced_age_undersampling_smote,balanced_sex_oversampling_tomek,balanced_sex_smote_tomek,balanced_sex_undersampling_oversampling,balanced_sex_undersampling_smote
balanced_age_oversampling_tomek,1.0,0.9996,0.9944,1.0,0.7805,0.9426,0.4375,0.5255
balanced_age_smote_tomek,0.9996,1.0,0.9025,1.0,0.4375,0.7015,0.1624,0.216
balanced_age_undersampling_oversampling,0.9944,0.9025,1.0,0.9695,0.9944,0.9999,0.9025,0.9426
balanced_age_undersampling_smote,1.0,1.0,0.9695,1.0,0.615,0.8483,0.2804,0.3548
balanced_sex_oversampling_tomek,0.7805,0.4375,0.9944,0.615,1.0,0.9999,0.9996,0.9999
balanced_sex_smote_tomek,0.9426,0.7015,0.9999,0.8483,0.9999,1.0,0.9858,0.9944
balanced_sex_undersampling_oversampling,0.4375,0.1624,0.9025,0.2804,0.9996,0.9858,1.0,1.0
balanced_sex_undersampling_smote,0.5255,0.216,0.9426,0.3548,0.9999,0.9944,1.0,1.0
