condition,balanced_age_smote_tomek,balanced_age_undersampling_oversampling,balanced_age_undersampling_smote,balanced_sex_smote_tomek,balanced_sex_undersampling_oversampling,balanced_sex_undersampling_smote
balanced_age_smote_tomek,1.0,0.9959,0.9959,0.1681,0.1681,0.4275
balanced_age_undersampling_oversampling,0.9959,1.0,1.0,0.0467,0.0467,0.1681
balanced_age_undersampling_smote,0.9959,1.0,1.0,0.0467,0.0467,0.1681
balanced_sex_smote_tomek,0.1681,0.0467,0.0467,1.0,1.0,0.9959
balanced_sex_undersampling_oversampling,0.1681,0.0467,0.0467,1.0,1.0,0.9959
balanced_sex_undersampling_smote,0.4275,0.1681,0.1681,0.9959,0.9959,1.0
