condition,balanced_age_jittering,balanced_age_oversampling,balanced_age_oversampling_tomek,balanced_age_smote,balanced_sex_jittering,balanced_sex_oversampling,balanced_sex_oversampling_tomek,balanced_sex_smote
balanced_age_jittering,1.0,0.7015,0.0274,0.216,0.8483,0.0409,0.3548,0.9858
balanced_age_oversampling,0.7015,1.0,0.7805,0.9944,1.0,0.8483,0.9996,0.9944
balanced_age_oversampling_tomek,0.0274,0.7805,1.0,0.9944,0.615,1.0,0.9695,0.2804
balanced_age_smote,0.216,0.9944,0.9944,1.0,0.9695,0.9982,1.0,0.7805
balanced_sex_jittering,0.8483,1.0,0.615,0.9695,1.0,0.7015,0.9944,0.9996
balanced_sex_oversampling,0.0409,0.8483,1.0,0.9982,0.7015,1.0,0.9858,0.3548
balanced_sex_oversampling_tomek,0.3548,0.9996,0.9695,1.0,0.9944,0.9858,1.0,0.9025
balanced_sex_smote,0.9858,0.9944,0.2804,0.7805,0.9996,0.3548,0.9025,1.0
