condition,balanced_age_smote_tomek,balanced_age_undersampling_oversampling,balanced_age_undersampling_smote,balanced_sex_smote_tomek,balanced_sex_undersampling_oversampling,balanced_sex_undersampling_smote
balanced_age_smote_tomek,1.0,1.0,1.0,0.0743,0.1139,0.326
balanced_age_undersampling_oversampling,1.0,1.0,1.0,0.1139,0.1681,0.4275
balanced_age_undersampling_smote,1.0,1.0,1.0,0.1139,0.1681,0.4275
balanced_sex_smote_tomek,0.0743,0.1139,0.1139,1.0,1.0,0.9846
balanced_sex_undersampling_oversampling,0.1139,0.1681,0.1681,1.0,1.0,0.9959
balanced_sex_undersampling_smote,0.326,0.4275,0.4275,0.9846,0.9959,1.0
