condition,balanced_age_jittering,balanced_age_oversampling,balanced_age_patient_aware_undersampling,balanced_age_reference_proportional,balanced_age_smote,balanced_age_undersampling,balanced_sex_jittering,balanced_sex_oversampling,balanced_sex_patient_aware_undersampling,balanced_sex_reference_proportional,balanced_sex_smote,balanced_sex_undersampling,original
balanced_age_jittering,1.0,0.9998,1.0,0.9999,0.9354,1.0,0.4765,0.9464,0.5968,0.9958,0.997,0.4471,0.956
balanced_age_oversampling,0.9998,1.0,0.9999,1.0,1.0,0.9354,0.956,1.0,0.9822,1.0,1.0,0.9464,1.0
balanced_age_patient_aware_undersampling,1.0,0.9999,1.0,1.0,0.956,0.9999,0.5365,0.9643,0.6562,0.9979,0.9986,0.5064,0.9714
balanced_age_reference_proportional,0.9999,1.0,1.0,1.0,0.9999,0.956,0.9354,0.9999,0.9714,1.0,1.0,0.9228,1.0
balanced_age_smote,0.9354,1.0,0.956,0.9999,1.0,0.5064,0.9999,1.0,1.0,1.0,1.0,0.9999,1.0
balanced_age_undersampling,1.0,0.9354,0.9999,0.956,0.5064,1.0,0.0976,0.5365,0.1499,0.8144,0.8364,0.0871,0.5667
balanced_sex_jittering,0.4765,0.956,0.5365,0.9354,0.9999,0.0976,1.0,0.9999,1.0,0.9922,0.9896,1.0,0.9998
balanced_sex_oversampling,0.9464,1.0,0.9643,0.9999,1.0,0.5365,0.9999,1.0,1.0,1.0,1.0,0.9998,1.0
balanced_sex_patient_aware_undersampling,0.5968,0.9822,0.6562,0.9714,1.0,0.1499,1.0,1.0,1.0,0.9979,0.997,1.0,1.0
balanced_sex_reference_proportional,0.9958,1.0,0.9979,1.0,1.0,0.8144,0.9922,1.0,0.9979,1.0,1.0,0.9896,1.0
balanced_sex_smote,0.997,1.0,0.9986,1.0,1.0,0.8364,0.9896,1.0,0.997,1.0,1.0,0.9863,1.0
balanced_sex_undersampling,0.4471,0.9464,0.5064,0.9228,0.9999,0.0871,1.0,0.9998,1.0,0.9896,0.9863,1.0,0.9996
original,0.956,1.0,0.9714,1.0,1.0,0.5667,0.9998,1.0,1.0,1.0,1.0,0.9996,1.0
