condition,balanced_age_jittering,balanced_age_oversampling,balanced_age_patient_aware_undersampling,balanced_age_reference_proportional,balanced_age_smote,balanced_age_undersampling,balanced_sex_jittering,balanced_sex_oversampling,balanced_sex_patient_aware_undersampling,balanced_sex_reference_proportional,balanced_sex_smote,balanced_sex_undersampling,original
balanced_age_jittering,1.0,0.9996,0.2867,0.1659,0.9942,0.3901,0.2867,0.183,0.8758,0.8144,0.5968,0.061,0.0418
balanced_age_oversampling,0.9996,1.0,0.8758,0.7402,1.0,0.9354,0.8758,0.7662,0.9998,0.9991,0.9863,0.4765,0.3901
balanced_age_patient_aware_undersampling,0.2867,0.8758,1.0,1.0,0.9643,1.0,1.0,1.0,0.9996,0.9999,1.0,1.0,1.0
balanced_age_reference_proportional,0.1659,0.7402,1.0,1.0,0.8931,1.0,1.0,1.0,0.9958,0.9986,1.0,1.0,1.0
balanced_age_smote,0.9942,1.0,0.9643,0.8931,1.0,0.9863,0.9643,0.9088,1.0,1.0,0.9986,0.685,0.5968
balanced_age_undersampling,0.3901,0.9354,1.0,1.0,0.9863,1.0,1.0,1.0,1.0,1.0,1.0,0.9999,0.9996
balanced_sex_jittering,0.2867,0.8758,1.0,1.0,0.9643,1.0,1.0,1.0,0.9996,0.9999,1.0,1.0,1.0
balanced_sex_oversampling,0.183,0.7662,1.0,1.0,0.9088,1.0,1.0,1.0,0.997,0.9991,1.0,1.0,1.0
balanced_sex_patient_aware_undersampling,0.8758,0.9998,0.9996,0.9958,1.0,1.0,0.9996,0.997,1.0,1.0,1.0,0.956,0.9228
balanced_sex_reference_proportional,0.8144,0.9991,0.9999,0.9986,1.0,1.0,0.9999,0.9991,1.0,1.0,1.0,0.9773,0.956
balanced_sex_smote,0.5968,0.9863,1.0,1.0,0.9986,1.0,1.0,1.0,1.0,1.0,1.0,0.9979,0.9942
balanced_sex_undersampling,0.061,0.4765,1.0,1.0,0.685,0.9999,1.0,1.0,0.956,0.9773,0.9979,1.0,1.0
original,0.0418,0.3901,1.0,1.0,0.5968,0.9996,1.0,1.0,0.9228,0.956,0.9942,1.0,1.0
