condition,balanced_age_oversampling,balanced_age_undersampling,balanced_age_undersampling_oversampling,balanced_sex_oversampling,balanced_sex_undersampling,balanced_sex_undersampling_oversampling
balanced_age_oversampling,1.0,0.2388,0.9959,0.0743,0.0924,0.0038
balanced_age_undersampling,0.2388,1.0,0.5382,0.9959,0.9983,0.7045
balanced_age_undersampling_oversampling,0.9959,0.5382,1.0,0.2388,0.2804,0.0218
balanced_sex_oversampling,0.0743,0.9959,0.2388,1.0,1.0,0.939
balanced_sex_undersampling,0.0924,0.9983,0.2804,1.0,1.0,0.9134
balanced_sex_undersampling_oversampling,0.0038,0.7045,0.0218,0.939,0.9134,1.0
