condition,balanced_age_patient_aware_undersampling,balanced_age_tomek_links,balanced_age_undersampling,balanced_sex_patient_aware_undersampling,balanced_sex_tomek_links,balanced_sex_undersampling
balanced_age_patient_aware_undersampling,1.0,0.2388,0.959,0.7556,0.0284,0.2388
balanced_age_tomek_links,0.2388,1.0,0.7556,0.959,0.959,1.0
balanced_age_undersampling,0.959,0.7556,1.0,0.9959,0.2388,0.7556
balanced_sex_patient_aware_undersampling,0.7556,0.959,0.9959,1.0,0.5382,0.959
balanced_sex_tomek_links,0.0284,0.959,0.2388,0.5382,1.0,0.959
balanced_sex_undersampling,0.2388,1.0,0.7556,0.959,0.959,1.0
