condition,balanced_age_oversampling,balanced_age_undersampling,balanced_age_undersampling_oversampling,balanced_sex_oversampling,balanced_sex_undersampling,balanced_sex_undersampling_oversampling
balanced_age_oversampling,1.0,0.0028,0.9134,0.1681,0.2388,0.1681
balanced_age_undersampling,0.0028,1.0,0.0743,0.7556,0.6505,0.7556
balanced_age_undersampling_oversampling,0.9134,0.0743,1.0,0.7556,0.8451,0.7556
balanced_sex_oversampling,0.1681,0.7556,0.7556,1.0,1.0,1.0
balanced_sex_undersampling,0.2388,0.6505,0.8451,1.0,1.0,1.0
balanced_sex_undersampling_oversampling,0.1681,0.7556,0.7556,1.0,1.0,1.0
