condition,balanced_age_jittering,balanced_age_oversampling,balanced_age_smote,balanced_sex_jittering,balanced_sex_oversampling,balanced_sex_smote
balanced_age_jittering,1.0,1.0,0.7556,0.1139,0.0166,0.0094
balanced_age_oversampling,1.0,1.0,0.8451,0.1681,0.0284,0.0166
balanced_age_smote,0.7556,0.8451,1.0,0.8451,0.4275,0.326
balanced_sex_jittering,0.1139,0.1681,0.8451,1.0,0.9846,0.959
balanced_sex_oversampling,0.0166,0.0284,0.4275,0.9846,1.0,1.0
balanced_sex_smote,0.0094,0.0166,0.326,0.959,1.0,1.0
