condition,balanced_age_oversampling_tomek,balanced_age_undersampling_smote,balanced_sex_oversampling_tomek,balanced_sex_undersampling_smote
balanced_age_oversampling_tomek,1.0,0.3159,0.761,0.6111
balanced_age_undersampling_smote,0.3159,1.0,0.0355,0.0173
balanced_sex_oversampling_tomek,0.761,0.0355,1.0,0.9948
balanced_sex_undersampling_smote,0.6111,0.0173,0.9948,1.0
