condition,balanced_age_smote_tomek,balanced_age_undersampling_oversampling,balanced_age_undersampling_smote,balanced_sex_smote_tomek,balanced_sex_undersampling_oversampling,balanced_sex_undersampling_smote
balanced_age_smote_tomek,1.0,0.974,0.9999,0.0366,0.0166,0.139
balanced_age_undersampling_oversampling,0.974,1.0,0.9959,0.2388,0.139,0.5382
balanced_age_undersampling_smote,0.9999,0.9959,1.0,0.0743,0.0366,0.2388
balanced_sex_smote_tomek,0.0366,0.2388,0.0743,1.0,0.9999,0.9959
balanced_sex_undersampling_oversampling,0.0166,0.139,0.0366,0.9999,1.0,0.974
balanced_sex_undersampling_smote,0.139,0.5382,0.2388,0.9959,0.974,1.0
