condition,balanced_age_jittering,balanced_age_oversampling,balanced_age_oversampling_tomek,balanced_age_smote,balanced_sex_jittering,balanced_sex_oversampling,balanced_sex_oversampling_tomek,balanced_sex_smote
balanced_age_jittering,1.0,0.9996,0.9858,1.0,0.2804,0.0853,0.0853,0.1624
balanced_age_oversampling,0.9996,1.0,0.8483,0.9999,0.0853,0.018,0.018,0.0409
balanced_age_oversampling_tomek,0.9858,0.8483,1.0,0.9695,0.8483,0.5255,0.5255,0.7015
balanced_age_smote,1.0,0.9999,0.9695,1.0,0.216,0.0597,0.0597,0.1191
balanced_sex_jittering,0.2804,0.0853,0.8483,0.216,1.0,0.9996,0.9996,1.0
balanced_sex_oversampling,0.0853,0.018,0.5255,0.0597,0.9996,1.0,1.0,1.0
balanced_sex_oversampling_tomek,0.0853,0.018,0.5255,0.0597,0.9996,1.0,1.0,1.0
balanced_sex_smote,0.1624,0.0409,0.7015,0.1191,1.0,1.0,1.0,1.0
