condition,balanced_age_patient_aware_undersampling,balanced_age_tomek_links,balanced_age_undersampling,balanced_sex_patient_aware_undersampling,balanced_sex_tomek_links,balanced_sex_undersampling
balanced_age_patient_aware_undersampling,1.0,0.0052,0.9959,0.326,0.0284,0.1139
balanced_age_tomek_links,0.0052,1.0,0.0284,0.6505,0.9959,0.9134
balanced_age_undersampling,0.9959,0.0284,1.0,0.6505,0.1139,0.326
balanced_sex_patient_aware_undersampling,0.326,0.6505,0.6505,1.0,0.9134,0.9959
balanced_sex_tomek_links,0.0284,0.9959,0.1139,0.9134,1.0,0.9959
balanced_sex_undersampling,0.1139,0.9134,0.326,0.9959,0.9959,1.0
