condition,balanced_age_jittering,balanced_age_oversampling,balanced_age_oversampling_tomek,balanced_age_smote,balanced_sex_jittering,balanced_sex_oversampling,balanced_sex_oversampling_tomek,balanced_sex_smote
balanced_age_jittering,1.0,0.9996,0.9695,0.9858,0.7015,0.9788,0.7422,0.9944
balanced_age_oversampling,0.9996,1.0,0.9996,0.9999,0.3548,0.816,0.3953,0.9025
balanced_age_oversampling_tomek,0.9695,0.9996,1.0,1.0,0.1191,0.4811,0.1395,0.615
balanced_age_smote,0.9858,0.9999,1.0,1.0,0.1624,0.5704,0.1879,0.7015
balanced_sex_jittering,0.7015,0.3548,0.1191,0.1624,1.0,0.9967,1.0,0.9858
balanced_sex_oversampling,0.9788,0.816,0.4811,0.5704,0.9967,1.0,0.9982,1.0
balanced_sex_oversampling_tomek,0.7422,0.3953,0.1395,0.1879,1.0,0.9982,1.0,0.9909
balanced_sex_smote,0.9944,0.9025,0.615,0.7015,0.9858,1.0,0.9909,1.0
