condition,balanced_age_oversampling,balanced_age_undersampling,balanced_age_undersampling_oversampling,balanced_sex_oversampling,balanced_sex_undersampling,balanced_sex_undersampling_oversampling
balanced_age_oversampling,1.0,0.0166,0.9846,0.7556,0.7556,0.9134
balanced_age_undersampling,0.0166,1.0,0.1139,0.4275,0.4275,0.2388
balanced_age_undersampling_oversampling,0.9846,0.1139,1.0,0.9846,0.9846,0.9994
balanced_sex_oversampling,0.7556,0.4275,0.9846,1.0,1.0,0.9994
balanced_sex_undersampling,0.7556,0.4275,0.9846,1.0,1.0,0.9994
balanced_sex_undersampling_oversampling,0.9134,0.2388,0.9994,0.9994,0.9994,1.0
