condition,balanced_age_oversampling,balanced_age_undersampling,balanced_age_undersampling_oversampling,balanced_sex_oversampling,balanced_sex_undersampling,balanced_sex_undersampling_oversampling
balanced_age_oversampling,1.0,0.9134,0.9959,0.0743,0.1681,0.326
balanced_age_undersampling,0.9134,1.0,0.6505,0.0028,0.0094,0.0284
balanced_age_undersampling_oversampling,0.9959,0.6505,1.0,0.2388,0.4275,0.6505
balanced_sex_oversampling,0.0743,0.0028,0.2388,1.0,0.9994,0.9846
balanced_sex_undersampling,0.1681,0.0094,0.4275,0.9994,1.0,0.9994
balanced_sex_undersampling_oversampling,0.326,0.0284,0.6505,0.9846,0.9994,1.0
