condition,balanced_age_smote_tomek,balanced_age_undersampling_oversampling,balanced_age_undersampling_smote,balanced_sex_smote_tomek,balanced_sex_undersampling_oversampling,balanced_sex_undersampling_smote
balanced_age_smote_tomek,1.0,0.9846,1.0,0.1681,0.1681,0.1681
balanced_age_undersampling_oversampling,0.9846,1.0,0.959,0.0284,0.0284,0.0284
balanced_age_undersampling_smote,1.0,0.959,1.0,0.2388,0.2388,0.2388
balanced_sex_smote_tomek,0.1681,0.0284,0.2388,1.0,1.0,1.0
balanced_sex_undersampling_oversampling,0.1681,0.0284,0.2388,1.0,1.0,1.0
balanced_sex_undersampling_smote,0.1681,0.0284,0.2388,1.0,1.0,1.0
